Perioden,Regio's,Gemiddelde woningwaarde (1 000 euro)
1998,Kapelle,78
1999,Kapelle,80
2000,Kapelle,79
2001,Kapelle,116
2002,Kapelle,117
2003,Kapelle,117
2004,Kapelle,119
2005,Kapelle,192
2006,Kapelle,194
2007,Kapelle,227
2008,Kapelle,243
2009,Kapelle,249
2010,Kapelle,249
2011,Kapelle,240
2012,Kapelle,238
2013,Kapelle,231
2014,Kapelle,220
2015,Kapelle,219
2016,Kapelle,220
2017,Kapelle,225
2018**,Kapelle,231
2019*,Kapelle,242
2020*,Kapelle,252
1997,Katwijk,84
1998,Katwijk,84
1999,Katwijk,84
2000,Katwijk,83
2001,Katwijk,158
2002,Katwijk,158
2003,Katwijk,159
2004,Katwijk,160
2005,Katwijk,228
2006,Katwijk,236
2007,Katwijk,249
2008,Katwijk,264
2009,Katwijk,275
2010,Katwijk,280
2011,Katwijk,274
2012,Katwijk,269
2013,Katwijk,264
2014,Katwijk,249
2015,Katwijk,244
2016,Katwijk,245
2017,Katwijk,249
2018**,Katwijk,265
2019*,Katwijk,290
2020*,Katwijk,321
1997,Kerkrade,60
1998,Kerkrade,61
1999,Kerkrade,60
2000,Kerkrade,61
2001,Kerkrade,105
2002,Kerkrade,106
2003,Kerkrade,106
2004,Kerkrade,107
2005,Kerkrade,131
2006,Kerkrade,132
2007,Kerkrade,143
2008,Kerkrade,148
2009,Kerkrade,149
2010,Kerkrade,148
2011,Kerkrade,144
2012,Kerkrade,139
2013,Kerkrade,135
2014,Kerkrade,129
2015,Kerkrade,122
2016,Kerkrade,121
2017,Kerkrade,129
2018**,Kerkrade,135
2019*,Kerkrade,142
2020*,Kerkrade,152
1997,Kerkwijk,94
1998,Kerkwijk,89
1999,Kerkwijk,
2000,Kerkwijk,
2001,Kerkwijk,
2002,Kerkwijk,
2003,Kerkwijk,
2004,Kerkwijk,
2005,Kerkwijk,
2006,Kerkwijk,
2007,Kerkwijk,
2008,Kerkwijk,
2009,Kerkwijk,
2010,Kerkwijk,
2011,Kerkwijk,
2012,Kerkwijk,
2013,Kerkwijk,
2014,Kerkwijk,
2015,Kerkwijk,
2016,Kerkwijk,
2017,Kerkwijk,
2018**,Kerkwijk,
2019*,Kerkwijk,
2020*,Kerkwijk,
1997,Kessel,99
1998,Kessel,100
1999,Kessel,101
2000,Kessel,101
2001,Kessel,156
2002,Kessel,158
2003,Kessel,158
2004,Kessel,159
2005,Kessel,215
2006,Kessel,214
2007,Kessel,237
2008,Kessel,248
2009,Kessel,255
2010,Kessel,
2011,Kessel,
2012,Kessel,
2013,Kessel,
2014,Kessel,
2015,Kessel,
2016,Kessel,
2017,Kessel,
2018**,Kessel,
2019*,Kessel,
2020*,Kessel,
1997,Kesteren,99
1998,Kesteren,99
1999,Kesteren,98
2000,Kesteren,99
2001,Kesteren,155
2002,Kesteren,
2003,Kesteren,
2004,Kesteren,
2005,Kesteren,
2006,Kesteren,
2007,Kesteren,
2008,Kesteren,
2009,Kesteren,
2010,Kesteren,
2011,Kesteren,
2012,Kesteren,
2013,Kesteren,
2014,Kesteren,
2015,Kesteren,
2016,Kesteren,
2017,Kesteren,
2018**,Kesteren,
2019*,Kesteren,
2020*,Kesteren,
1997,Koggenland,
1998,Koggenland,
1999,Koggenland,
2000,Koggenland,
2001,Koggenland,
2002,Koggenland,
2003,Koggenland,
2004,Koggenland,
2005,Koggenland,
2006,Koggenland,
2007,Koggenland,246
2008,Koggenland,260
2009,Koggenland,269
2010,Koggenland,273
2011,Koggenland,267
2012,Koggenland,260
2013,Koggenland,250
2014,Koggenland,231
2015,Koggenland,226
2016,Koggenland,228
2017,Koggenland,234
2018**,Koggenland,242
2019*,Koggenland,257
2020*,Koggenland,272
1997,Kollumerland en Nieuwkruisland,52
1998,Kollumerland en Nieuwkruisland,52
1999,Kollumerland en Nieuwkruisland,53
2000,Kollumerland en Nieuwkruisland,55
2001,Kollumerland en Nieuwkruisland,101
2002,Kollumerland en Nieuwkruisland,101
2003,Kollumerland en Nieuwkruisland,101
2004,Kollumerland en Nieuwkruisland,101
2005,Kollumerland en Nieuwkruisland,150
2006,Kollumerland en Nieuwkruisland,150
2007,Kollumerland en Nieuwkruisland,176
2008,Kollumerland en Nieuwkruisland,188
2009,Kollumerland en Nieuwkruisland,194
2010,Kollumerland en Nieuwkruisland,194
2011,Kollumerland en Nieuwkruisland,195
2012,Kollumerland en Nieuwkruisland,192
2013,Kollumerland en Nieuwkruisland,178
2014,Kollumerland en Nieuwkruisland,166
2015,Kollumerland en Nieuwkruisland,163
2016,Kollumerland en Nieuwkruisland,164
2017,Kollumerland en Nieuwkruisland,169
2018**,Kollumerland en Nieuwkruisland,172
2019*,Kollumerland en Nieuwkruisland,
2020*,Kollumerland en Nieuwkruisland,
1997,Korendijk,87
1998,Korendijk,88
1999,Korendijk,89
2000,Korendijk,90
2001,Korendijk,139
2002,Korendijk,140
2003,Korendijk,139
2004,Korendijk,141
2005,Korendijk,217
2006,Korendijk,217
2007,Korendijk,239
2008,Korendijk,257
2009,Korendijk,267
2010,Korendijk,270
2011,Korendijk,262
2012,Korendijk,258
2013,Korendijk,248
2014,Korendijk,236
2015,Korendijk,226
2016,Korendijk,222
2017,Korendijk,224
2018**,Korendijk,227
2019*,Korendijk,
2020*,Korendijk,
1997,Krimpen aan den IJssel,89
1998,Krimpen aan den IJssel,90
1999,Krimpen aan den IJssel,90
2000,Krimpen aan den IJssel,91
2001,Krimpen aan den IJssel,138
2002,Krimpen aan den IJssel,140
2003,Krimpen aan den IJssel,140
2004,Krimpen aan den IJssel,140
2005,Krimpen aan den IJssel,212
2006,Krimpen aan den IJssel,212
2007,Krimpen aan den IJssel,234
2008,Krimpen aan den IJssel,247
2009,Krimpen aan den IJssel,249
2010,Krimpen aan den IJssel,250
2011,Krimpen aan den IJssel,240
2012,Krimpen aan den IJssel,234
2013,Krimpen aan den IJssel,225
2014,Krimpen aan den IJssel,218
2015,Krimpen aan den IJssel,212
2016,Krimpen aan den IJssel,215
2017,Krimpen aan den IJssel,217
2018**,Krimpen aan den IJssel,228
2019*,Krimpen aan den IJssel,246
2020*,Krimpen aan den IJssel,265
1997,Krimpenerwaard,
1998,Krimpenerwaard,
1999,Krimpenerwaard,
2000,Krimpenerwaard,
2001,Krimpenerwaard,
2002,Krimpenerwaard,
2003,Krimpenerwaard,
2004,Krimpenerwaard,
2005,Krimpenerwaard,
2006,Krimpenerwaard,
2007,Krimpenerwaard,
2008,Krimpenerwaard,
2009,Krimpenerwaard,
2010,Krimpenerwaard,
2011,Krimpenerwaard,
2012,Krimpenerwaard,
2013,Krimpenerwaard,
2014,Krimpenerwaard,
2015,Krimpenerwaard,230
2016,Krimpenerwaard,230
2017,Krimpenerwaard,236
2018**,Krimpenerwaard,242
2019*,Krimpenerwaard,256
2020*,Krimpenerwaard,273
1997,Laarbeek,87
1998,Laarbeek,87
1999,Laarbeek,88
2000,Laarbeek,87
2001,Laarbeek,167
2002,Laarbeek,167
2003,Laarbeek,168
2004,Laarbeek,168
2005,Laarbeek,246
2006,Laarbeek,246
2007,Laarbeek,269
2008,Laarbeek,297
2009,Laarbeek,306
2010,Laarbeek,307
2011,Laarbeek,305
2012,Laarbeek,285
2013,Laarbeek,267
2014,Laarbeek,253
2015,Laarbeek,245
2016,Laarbeek,240
2017,Laarbeek,245
2018**,Laarbeek,250
2019*,Laarbeek,270
2020*,Laarbeek,294
1997,Landerd,96
1998,Landerd,96
1999,Landerd,96
2000,Landerd,97
2001,Landerd,178
2002,Landerd,179
2003,Landerd,180
2004,Landerd,181
2005,Landerd,279
2006,Landerd,278
2007,Landerd,319
2008,Landerd,342
2009,Landerd,356
2010,Landerd,357
2011,Landerd,348
2012,Landerd,327
2013,Landerd,305
2014,Landerd,279
2015,Landerd,265
2016,Landerd,269
2017,Landerd,277
2018**,Landerd,288
2019*,Landerd,303
2020*,Landerd,333
1997,Landgraaf,81
1998,Landgraaf,81
1999,Landgraaf,81
2000,Landgraaf,81
2001,Landgraaf,116
2002,Landgraaf,117
2003,Landgraaf,118
2004,Landgraaf,119
2005,Landgraaf,156
2006,Landgraaf,156
2007,Landgraaf,168
2008,Landgraaf,170
2009,Landgraaf,171
2010,Landgraaf,172
2011,Landgraaf,164
2012,Landgraaf,163
2013,Landgraaf,158
2014,Landgraaf,149
2015,Landgraaf,146
2016,Landgraaf,149
2017,Landgraaf,154
2018**,Landgraaf,161
2019*,Landgraaf,169
2020*,Landgraaf,183
1997,Landsmeer,104
1998,Landsmeer,104
1999,Landsmeer,104
2000,Landsmeer,105
2001,Landsmeer,177
2002,Landsmeer,177
2003,Landsmeer,178
2004,Landsmeer,179
2005,Landsmeer,281
2006,Landsmeer,281
2007,Landsmeer,300
2008,Landsmeer,316
2009,Landsmeer,330
2010,Landsmeer,325
2011,Landsmeer,321
2012,Landsmeer,314
2013,Landsmeer,291
2014,Landsmeer,280
2015,Landsmeer,274
2016,Landsmeer,288
2017,Landsmeer,316
2018**,Landsmeer,351
2019*,Landsmeer,395
2020*,Landsmeer,437
1997,Langedijk,99
1998,Langedijk,98
1999,Langedijk,98
2000,Langedijk,97
2001,Langedijk,160
2002,Langedijk,163
2003,Langedijk,159
2004,Langedijk,166
2005,Langedijk,252
2006,Langedijk,253
2007,Langedijk,252
2008,Langedijk,274
2009,Langedijk,288
2010,Langedijk,290
2011,Langedijk,285
2012,Langedijk,281
2013,Langedijk,265
2014,Langedijk,251
2015,Langedijk,247
2016,Langedijk,242
2017,Langedijk,244
2018**,Langedijk,253
2019*,Langedijk,272
2020*,Langedijk,293
1997,Lansingerland,
1998,Lansingerland,
1999,Lansingerland,
2000,Lansingerland,
2001,Lansingerland,
2002,Lansingerland,
2003,Lansingerland,
2004,Lansingerland,
2005,Lansingerland,
2006,Lansingerland,
2007,Lansingerland,269
2008,Lansingerland,287
2009,Lansingerland,299
2010,Lansingerland,305
2011,Lansingerland,295
2012,Lansingerland,289
2013,Lansingerland,282
2014,Lansingerland,268
2015,Lansingerland,257
2016,Lansingerland,264
2017,Lansingerland,273
2018**,Lansingerland,287
2019*,Lansingerland,318
2020*,Lansingerland,349
1997,Laren (NH.),183
1998,Laren (NH.),183
1999,Laren (NH.),184
2000,Laren (NH.),186
2001,Laren (NH.),362
2002,Laren (NH.),360
2003,Laren (NH.),360
2004,Laren (NH.),361
2005,Laren (NH.),502
2006,Laren (NH.),503
2007,Laren (NH.),549
2008,Laren (NH.),583
2009,Laren (NH.),618
2010,Laren (NH.),628
2011,Laren (NH.),615
2012,Laren (NH.),599
2013,Laren (NH.),566
2014,Laren (NH.),534
2015,Laren (NH.),534
2016,Laren (NH.),536
2017,Laren (NH.),559
2018**,Laren (NH.),       .
2019*,Laren (NH.),626
2020*,Laren (NH.),686
1997,Leek,80
1998,Leek,80
1999,Leek,81
2000,Leek,82
2001,Leek,117
2002,Leek,117
2003,Leek,118
2004,Leek,119
2005,Leek,176
2006,Leek,176
2007,Leek,197
2008,Leek,216
2009,Leek,221
2010,Leek,220
2011,Leek,214
2012,Leek,208
2013,Leek,196
2014,Leek,183
2015,Leek,180
2016,Leek,183
2017,Leek,189
2018**,Leek,195
2019*,Leek,
2020*,Leek,
1997,Leerdam,89
1998,Leerdam,89
1999,Leerdam,89
2000,Leerdam,90
2001,Leerdam,127
2002,Leerdam,129
2003,Leerdam,130
2004,Leerdam,130
2005,Leerdam,202
2006,Leerdam,202
2007,Leerdam,216
2008,Leerdam,235
2009,Leerdam,241
2010,Leerdam,240
2011,Leerdam,238
2012,Leerdam,233
2013,Leerdam,223
2014,Leerdam,210
2015,Leerdam,206
2016,Leerdam,208
2017,Leerdam,209
2018**,Leerdam,215
2019*,Leerdam,
2020*,Leerdam,
1997,Leersum,129
1998,Leersum,128
1999,Leersum,128
2000,Leersum,129
2001,Leersum,194
2002,Leersum,
2003,Leersum,
2004,Leersum,
2005,Leersum,
2006,Leersum,
2007,Leersum,
2008,Leersum,
2009,Leersum,
2010,Leersum,
2011,Leersum,
2012,Leersum,
2013,Leersum,
2014,Leersum,
2015,Leersum,
2016,Leersum,
2017,Leersum,
2018**,Leersum,
2019*,Leersum,
2020*,Leersum,
1997,Leeuwarden,41
1998,Leeuwarden,42
1999,Leeuwarden,43
2000,Leeuwarden,43
2001,Leeuwarden,75
2002,Leeuwarden,76
2003,Leeuwarden,77
2004,Leeuwarden,78
2005,Leeuwarden,120
2006,Leeuwarden,121
2007,Leeuwarden,136
2008,Leeuwarden,146
2009,Leeuwarden,149
2010,Leeuwarden,153
2011,Leeuwarden,152
2012,Leeuwarden,148
2013,Leeuwarden,140
2014,Leeuwarden,135
2015,Leeuwarden,131
2016,Leeuwarden,131
2017,Leeuwarden,139
2018**,Leeuwarden,143
2019*,Leeuwarden,156
2020*,Leeuwarden,168
1997,Leeuwarderadeel,68
1998,Leeuwarderadeel,69
1999,Leeuwarderadeel,70
2000,Leeuwarderadeel,71
2001,Leeuwarderadeel,102
2002,Leeuwarderadeel,103
2003,Leeuwarderadeel,103
2004,Leeuwarderadeel,104
2005,Leeuwarderadeel,163
2006,Leeuwarderadeel,163
2007,Leeuwarderadeel,178
2008,Leeuwarderadeel,190
2009,Leeuwarderadeel,192
2010,Leeuwarderadeel,188
2011,Leeuwarderadeel,186
2012,Leeuwarderadeel,181
2013,Leeuwarderadeel,174
2014,Leeuwarderadeel,164
2015,Leeuwarderadeel,162
2016,Leeuwarderadeel,166
2017,Leeuwarderadeel,170
2018**,Leeuwarderadeel,
2019*,Leeuwarderadeel,
2020*,Leeuwarderadeel,
1997,Leiden,84
1998,Leiden,84
1999,Leiden,84
2000,Leiden,84
2001,Leiden,128
2002,Leiden,128
2003,Leiden,129
2004,Leiden,128
2005,Leiden,198
2006,Leiden,199
2007,Leiden,215
2008,Leiden,232
2009,Leiden,239
2010,Leiden,237
2011,Leiden,231
2012,Leiden,226
2013,Leiden,220
2014,Leiden,211
2015,Leiden,205
2016,Leiden,208
2017,Leiden,217
2018**,Leiden,234
2019*,Leiden,259
2020*,Leiden,287
1997,Leiderdorp,87
1998,Leiderdorp,87
1999,Leiderdorp,88
2000,Leiderdorp,88
2001,Leiderdorp,157
2002,Leiderdorp,158
2003,Leiderdorp,158
2004,Leiderdorp,158
2005,Leiderdorp,233
2006,Leiderdorp,234
2007,Leiderdorp,250
2008,Leiderdorp,268
2009,Leiderdorp,275
2010,Leiderdorp,273
2011,Leiderdorp,262
2012,Leiderdorp,258
2013,Leiderdorp,248
2014,Leiderdorp,239
2015,Leiderdorp,235
2016,Leiderdorp,239
2017,Leiderdorp,243
2018**,Leiderdorp,258
2019*,Leiderdorp,281
2020*,Leiderdorp,302
1997,Leidschendam,101
1998,Leidschendam,102
1999,Leidschendam,104
2000,Leidschendam,101
2001,Leidschendam,145
2002,Leidschendam,
2003,Leidschendam,
2004,Leidschendam,
2005,Leidschendam,
2006,Leidschendam,
2007,Leidschendam,
2008,Leidschendam,
2009,Leidschendam,
2010,Leidschendam,
2011,Leidschendam,
2012,Leidschendam,
2013,Leidschendam,
2014,Leidschendam,
2015,Leidschendam,
2016,Leidschendam,
2017,Leidschendam,
2018**,Leidschendam,
2019*,Leidschendam,
2020*,Leidschendam,
1997,Leidschendam-Voorburg,
1998,Leidschendam-Voorburg,
1999,Leidschendam-Voorburg,
2000,Leidschendam-Voorburg,
2001,Leidschendam-Voorburg,
2002,Leidschendam-Voorburg,139
2003,Leidschendam-Voorburg,140
2004,Leidschendam-Voorburg,141
2005,Leidschendam-Voorburg,215
2006,Leidschendam-Voorburg,217
2007,Leidschendam-Voorburg,239
2008,Leidschendam-Voorburg,250
2009,Leidschendam-Voorburg,260
2010,Leidschendam-Voorburg,262
2011,Leidschendam-Voorburg,259
2012,Leidschendam-Voorburg,251
2013,Leidschendam-Voorburg,243
2014,Leidschendam-Voorburg,230
2015,Leidschendam-Voorburg,228
2016,Leidschendam-Voorburg,231
2017,Leidschendam-Voorburg,242
2018**,Leidschendam-Voorburg,248
2019*,Leidschendam-Voorburg,274
2020*,Leidschendam-Voorburg,293
1997,Lelystad,58
1998,Lelystad,58
1999,Lelystad,60
2000,Lelystad,60
2001,Lelystad,95
2002,Lelystad,97
2003,Lelystad,99
2004,Lelystad,101
2005,Lelystad,166
2006,Lelystad,168
2007,Lelystad,177
2008,Lelystad,189
2009,Lelystad,193
2010,Lelystad,191
2011,Lelystad,186
2012,Lelystad,180
2013,Lelystad,172
2014,Lelystad,165
2015,Lelystad,159
2016,Lelystad,159
2017,Lelystad,163
2018**,Lelystad,169
2019*,Lelystad,188
2020*,Lelystad,209
1997,Lemsterland,58
1998,Lemsterland,60
1999,Lemsterland,62
2000,Lemsterland,63
2001,Lemsterland,112
2002,Lemsterland,115
2003,Lemsterland,116
2004,Lemsterland,116
2005,Lemsterland,181
2006,Lemsterland,183
2007,Lemsterland,205
2008,Lemsterland,224
2009,Lemsterland,233
2010,Lemsterland,232
2011,Lemsterland,231
2012,Lemsterland,227
2013,Lemsterland,217
2014,Lemsterland,
2015,Lemsterland,
2016,Lemsterland,
2017,Lemsterland,
2018**,Lemsterland,
2019*,Lemsterland,
2020*,Lemsterland,
1997,Leudal,
1998,Leudal,
1999,Leudal,
2000,Leudal,
2001,Leudal,
2002,Leudal,
2003,Leudal,
2004,Leudal,
2005,Leudal,
2006,Leudal,
2007,Leudal,222
2008,Leudal,232
2009,Leudal,237
2010,Leudal,231
2011,Leudal,228
2012,Leudal,227
2013,Leudal,220
2014,Leudal,212
2015,Leudal,206
2016,Leudal,208
2017,Leudal,213
2018**,Leudal,221
2019*,Leudal,231
2020*,Leudal,245
1997,Leusden,103
1998,Leusden,104
1999,Leusden,104
2000,Leusden,105
2001,Leusden,174
2002,Leusden,174
2003,Leusden,175
2004,Leusden,175
2005,Leusden,251
2006,Leusden,252
2007,Leusden,263
2008,Leusden,285
2009,Leusden,303
2010,Leusden,308
2011,Leusden,305
2012,Leusden,298
2013,Leusden,285
2014,Leusden,268
2015,Leusden,264
2016,Leusden,264
2017,Leusden,274
2018**,Leusden,292
2019*,Leusden,317
2020*,Leusden,337
1997,Lichtenvoorde,96
1998,Lichtenvoorde,96
1999,Lichtenvoorde,97
2000,Lichtenvoorde,97
2001,Lichtenvoorde,143
2002,Lichtenvoorde,
2003,Lichtenvoorde,
2004,Lichtenvoorde,
2005,Lichtenvoorde,
2006,Lichtenvoorde,
2007,Lichtenvoorde,
2008,Lichtenvoorde,
2009,Lichtenvoorde,
2010,Lichtenvoorde,
2011,Lichtenvoorde,
2012,Lichtenvoorde,
2013,Lichtenvoorde,
2014,Lichtenvoorde,
2015,Lichtenvoorde,
2016,Lichtenvoorde,
2017,Lichtenvoorde,
2018**,Lichtenvoorde,
2019*,Lichtenvoorde,
2020*,Lichtenvoorde,
1997,Liemeer,104
1998,Liemeer,104
1999,Liemeer,105
2000,Liemeer,105
2001,Liemeer,165
2002,Liemeer,165
2003,Liemeer,166
2004,Liemeer,166
2005,Liemeer,245
2006,Liemeer,250
2007,Liemeer,
2008,Liemeer,
2009,Liemeer,
2010,Liemeer,
2011,Liemeer,
2012,Liemeer,
2013,Liemeer,
2014,Liemeer,
2015,Liemeer,
2016,Liemeer,
2017,Liemeer,
2018**,Liemeer,
2019*,Liemeer,
2020*,Liemeer,
1997,Lienden,109
1998,Lienden,110
1999,Lienden,
2000,Lienden,
2001,Lienden,
2002,Lienden,
2003,Lienden,
2004,Lienden,
2005,Lienden,
2006,Lienden,
2007,Lienden,
2008,Lienden,
2009,Lienden,
2010,Lienden,
2011,Lienden,
2012,Lienden,
2013,Lienden,
2014,Lienden,
2015,Lienden,
2016,Lienden,
2017,Lienden,
2018**,Lienden,
2019*,Lienden,
2020*,Lienden,
1997,De Lier,98
1998,De Lier,99
1999,De Lier,100
2000,De Lier,101
2001,De Lier,149
2002,De Lier,
2003,De Lier,
2004,De Lier,
2005,De Lier,
2006,De Lier,
2007,De Lier,
2008,De Lier,
2009,De Lier,
2010,De Lier,
2011,De Lier,
2012,De Lier,
2013,De Lier,
2014,De Lier,
2015,De Lier,
2016,De Lier,
2017,De Lier,
2018**,De Lier,
2019*,De Lier,
2020*,De Lier,
1997,Liesveld,97
1998,Liesveld,97
1999,Liesveld,97
2000,Liesveld,97
2001,Liesveld,147
2002,Liesveld,147
2003,Liesveld,148
2004,Liesveld,148
2005,Liesveld,229
2006,Liesveld,228
2007,Liesveld,248
2008,Liesveld,265
2009,Liesveld,277
2010,Liesveld,277
2011,Liesveld,271
2012,Liesveld,269
2013,Liesveld,
2014,Liesveld,
2015,Liesveld,
2016,Liesveld,
2017,Liesveld,
2018**,Liesveld,
2019*,Liesveld,
2020*,Liesveld,
1997,Limmen,132
1998,Limmen,133
1999,Limmen,134
2000,Limmen,135
2001,Limmen,185
2002,Limmen,
2003,Limmen,
2004,Limmen,
2005,Limmen,
2006,Limmen,
2007,Limmen,
2008,Limmen,
2009,Limmen,
2010,Limmen,
2011,Limmen,
2012,Limmen,
2013,Limmen,
2014,Limmen,
2015,Limmen,
2016,Limmen,
2017,Limmen,
2018**,Limmen,
2019*,Limmen,
2020*,Limmen,
1997,Lingewaal,100
1998,Lingewaal,100
1999,Lingewaal,100
2000,Lingewaal,100
2001,Lingewaal,152
2002,Lingewaal,153
2003,Lingewaal,154
2004,Lingewaal,155
2005,Lingewaal,244
2006,Lingewaal,246
2007,Lingewaal,271
2008,Lingewaal,296
2009,Lingewaal,300
2010,Lingewaal,303
2011,Lingewaal,297
2012,Lingewaal,293
2013,Lingewaal,285
2014,Lingewaal,266
2015,Lingewaal,255
2016,Lingewaal,252
2017,Lingewaal,247
2018**,Lingewaal,252
2019*,Lingewaal,
2020*,Lingewaal,
1997,Lingewaard,
1998,Lingewaard,
1999,Lingewaard,
2000,Lingewaard,
2001,Lingewaard,
2002,Lingewaard,
2003,Lingewaard,149
2004,Lingewaard,151
2005,Lingewaard,228
2006,Lingewaard,228
2007,Lingewaard,245
2008,Lingewaard,257
2009,Lingewaard,266
2010,Lingewaard,263
2011,Lingewaard,257
2012,Lingewaard,248
2013,Lingewaard,240
2014,Lingewaard,233
2015,Lingewaard,223
2016,Lingewaard,224
2017,Lingewaard,230
2018**,Lingewaard,240
2019*,Lingewaard,258
2020*,Lingewaard,272
1997,Lisse,96
1998,Lisse,97
1999,Lisse,98
2000,Lisse,100
2001,Lisse,156
2002,Lisse,157
2003,Lisse,159
2004,Lisse,157
2005,Lisse,221
2006,Lisse,222
2007,Lisse,245
2008,Lisse,266
2009,Lisse,279
2010,Lisse,287
2011,Lisse,283
2012,Lisse,275
2013,Lisse,264
2014,Lisse,249
2015,Lisse,241
2016,Lisse,243
2017,Lisse,248
2018**,Lisse,258
2019*,Lisse,278
2020*,Lisse,307
1997,Lith,76
1998,Lith,76
1999,Lith,76
2000,Lith,78
2001,Lith,188
2002,Lith,189
2003,Lith,190
2004,Lith,191
2005,Lith,282
2006,Lith,282
2007,Lith,306
2008,Lith,330
2009,Lith,338
2010,Lith,342
2011,Lith,
2012,Lith,
2013,Lith,
2014,Lith,
2015,Lith,
2016,Lith,
2017,Lith,
2018**,Lith,
2019*,Lith,
2020*,Lith,
1997,Littenseradiel,63
1998,Littenseradiel,64
1999,Littenseradiel,65
2000,Littenseradiel,65
2001,Littenseradiel,106
2002,Littenseradiel,106
2003,Littenseradiel,107
2004,Littenseradiel,107
2005,Littenseradiel,170
2006,Littenseradiel,169
2007,Littenseradiel,187
2008,Littenseradiel,204
2009,Littenseradiel,211
2010,Littenseradiel,211
2011,Littenseradiel,210
2012,Littenseradiel,205
2013,Littenseradiel,197
2014,Littenseradiel,185
2015,Littenseradiel,181
2016,Littenseradiel,183
2017,Littenseradiel,187
2018**,Littenseradiel,
2019*,Littenseradiel,
2020*,Littenseradiel,
1997,Lochem,98
1998,Lochem,99
1999,Lochem,100
2000,Lochem,100
2001,Lochem,151
2002,Lochem,154
2003,Lochem,155
2004,Lochem,157
2005,Lochem,271
2006,Lochem,271
2007,Lochem,288
2008,Lochem,306
2009,Lochem,317
2010,Lochem,314
2011,Lochem,308
2012,Lochem,303
2013,Lochem,294
2014,Lochem,282
2015,Lochem,272
2016,Lochem,268
2017,Lochem,271
2018**,Lochem,283
2019*,Lochem,303
2020*,Lochem,325
1997,Loenen,134
1998,Loenen,133
1999,Loenen,133
2000,Loenen,133
2001,Loenen,235
2002,Loenen,236
2003,Loenen,236
2004,Loenen,238
2005,Loenen,341
2006,Loenen,342
2007,Loenen,367
2008,Loenen,414
2009,Loenen,431
2010,Loenen,426
2011,Loenen,
2012,Loenen,
2013,Loenen,
2014,Loenen,
2015,Loenen,
2016,Loenen,
2017,Loenen,
2018**,Loenen,
2019*,Loenen,
2020*,Loenen,
1997,Loon op Zand,82
1998,Loon op Zand,83
1999,Loon op Zand,83
2000,Loon op Zand,83
2001,Loon op Zand,148
2002,Loon op Zand,149
2003,Loon op Zand,149
2004,Loon op Zand,150
2005,Loon op Zand,244
2006,Loon op Zand,245
2007,Loon op Zand,261
2008,Loon op Zand,279
2009,Loon op Zand,286
2010,Loon op Zand,287
2011,Loon op Zand,280
2012,Loon op Zand,270
2013,Loon op Zand,257
2014,Loon op Zand,242
2015,Loon op Zand,234
2016,Loon op Zand,235
2017,Loon op Zand,243
2018**,Loon op Zand,247
2019*,Loon op Zand,255
2020*,Loon op Zand,268
1997,Loosdrecht,144
1998,Loosdrecht,145
1999,Loosdrecht,145
2000,Loosdrecht,146
2001,Loosdrecht,238
2002,Loosdrecht,
2003,Loosdrecht,
2004,Loosdrecht,
2005,Loosdrecht,
2006,Loosdrecht,
2007,Loosdrecht,
2008,Loosdrecht,
2009,Loosdrecht,
2010,Loosdrecht,
2011,Loosdrecht,
2012,Loosdrecht,
2013,Loosdrecht,
2014,Loosdrecht,
2015,Loosdrecht,
2016,Loosdrecht,
2017,Loosdrecht,
2018**,Loosdrecht,
2019*,Loosdrecht,
2020*,Loosdrecht,
1997,Lopik,87
1998,Lopik,88
1999,Lopik,88
2000,Lopik,88
2001,Lopik,174
2002,Lopik,174
2003,Lopik,174
2004,Lopik,174
2005,Lopik,252
2006,Lopik,252
2007,Lopik,273
2008,Lopik,291
2009,Lopik,301
2010,Lopik,304
2011,Lopik,299
2012,Lopik,295
2013,Lopik,285
2014,Lopik,269
2015,Lopik,262
2016,Lopik,264
2017,Lopik,269
2018**,Lopik,274
2019*,Lopik,291
2020*,Lopik,306
1997,Loppersum,49
1998,Loppersum,50
1999,Loppersum,50
2000,Loppersum,50
2001,Loppersum,87
2002,Loppersum,87
2003,Loppersum,88
2004,Loppersum,88
2005,Loppersum,139
2006,Loppersum,140
2007,Loppersum,156
2008,Loppersum,171
2009,Loppersum,177
2010,Loppersum,177
2011,Loppersum,174
2012,Loppersum,171
2013,Loppersum,165
2014,Loppersum,152
2015,Loppersum,145
2016,Loppersum,143
2017,Loppersum,144
2018**,Loppersum,149
2019*,Loppersum,154
2020*,Loppersum,162
1997,Losser,74
1998,Losser,74
1999,Losser,74
2000,Losser,75
2001,Losser,136
2002,Losser,137
2003,Losser,137
2004,Losser,138
2005,Losser,213
2006,Losser,213
2007,Losser,224
2008,Losser,233
2009,Losser,235
2010,Losser,233
2011,Losser,226
2012,Losser,222
2013,Losser,216
2014,Losser,206
2015,Losser,202
2016,Losser,203
2017,Losser,204
2018**,Losser,216
2019*,Losser,229
2020*,Losser,243
1997,Maarn,138
1998,Maarn,138
1999,Maarn,138
2000,Maarn,138
2001,Maarn,219
2002,Maarn,
2003,Maarn,
2004,Maarn,
2005,Maarn,
2006,Maarn,
2007,Maarn,
2008,Maarn,
2009,Maarn,
2010,Maarn,
2011,Maarn,
2012,Maarn,
2013,Maarn,
2014,Maarn,
2015,Maarn,
2016,Maarn,
2017,Maarn,
