,Onderwerp,Totale woningvoorraad,Totale woningvoorraad,Totale woningvoorraad
,Status van bewoning,Totaal,Bewoonde woningen,Niet bewoonde woningen
Regio's,Perioden,aantal,aantal,aantal
Bloemendaal,2021,10166,9607,559
Bloemendaal,2022,10181,9712,469
Bloemendaal,2023,10262,9735,527
Boarnsterhim,2012,8376,7921,455
Boarnsterhim,2013,8455,8025,430
Boarnsterhim,2014,,,
Boarnsterhim,2015,,,
Boarnsterhim,2016,,,
Boarnsterhim,2017,,,
Boarnsterhim,2018,,,
Boarnsterhim,2019,,,
Boarnsterhim,2020,,,
Boarnsterhim,2021,,,
Boarnsterhim,2022,,,
Boarnsterhim,2023,,,
Bodegraven-Reeuwijk,2012,13440,12493,947
Bodegraven-Reeuwijk,2013,13698,12730,968
Bodegraven-Reeuwijk,2014,13715,12831,884
Bodegraven-Reeuwijk,2015,13824,12989,835
Bodegraven-Reeuwijk,2016,14008,13159,849
Bodegraven-Reeuwijk,2017,14090,13329,761
Bodegraven-Reeuwijk,2018,14260,13440,820
Bodegraven-Reeuwijk,2019,14360,13678,682
Bodegraven-Reeuwijk,2020,14499,13852,647
Bodegraven-Reeuwijk,2021,14676,14056,620
Bodegraven-Reeuwijk,2022,14854,14254,600
Bodegraven-Reeuwijk,2023,15074,14424,650
Boekel,2012,3670,3497,173
Boekel,2013,3807,3624,183
Boekel,2014,3882,3706,176
Boekel,2015,3890,3711,179
Boekel,2016,3975,3797,178
Boekel,2017,4034,3882,152
Boekel,2018,4082,3928,154
Boekel,2019,4168,3995,173
Boekel,2020,4248,4076,172
Boekel,2021,4397,4220,177
Boekel,2022,4473,4292,181
Boekel,2023,4518,4342,176
Ten Boer,2012,2959,2862,97
Ten Boer,2013,2964,2871,93
Ten Boer,2014,3017,2924,93
Ten Boer,2015,3033,2939,94
Ten Boer,2016,3017,2919,98
Ten Boer,2017,3045,2938,107
Ten Boer,2018,3052,2939,113
Ten Boer,2019,,,
Ten Boer,2020,,,
Ten Boer,2021,,,
Ten Boer,2022,,,
Ten Boer,2023,,,
Borger-Odoorn,2012,11644,10626,1018
Borger-Odoorn,2013,11619,10619,1000
Borger-Odoorn,2014,11710,10722,988
Borger-Odoorn,2015,11734,10740,994
Borger-Odoorn,2016,11714,10757,957
Borger-Odoorn,2017,11572,10645,927
Borger-Odoorn,2018,11608,10704,904
Borger-Odoorn,2019,11645,10736,909
Borger-Odoorn,2020,11374,10824,550
Borger-Odoorn,2021,11224,10851,373
Borger-Odoorn,2022,11276,10891,385
Borger-Odoorn,2023,11432,10994,438
Borne,2012,8951,8551,400
Borne,2013,9078,8779,299
Borne,2014,9155,8916,239
Borne,2015,9231,8997,234
Borne,2016,9316,9064,252
Borne,2017,9537,9275,262
Borne,2018,9748,9510,238
Borne,2019,9817,9598,219
Borne,2020,9954,9660,294
Borne,2021,10105,9828,277
Borne,2022,10290,9999,291
Borne,2023,10307,10063,244
Borsele,2012,9543,9022,521
Borsele,2013,9641,9144,497
Borsele,2014,9719,9174,545
Borsele,2015,9657,9198,459
Borsele,2016,9687,9258,429
Borsele,2017,9735,9303,432
Borsele,2018,9781,9353,428
Borsele,2019,9785,9399,386
Borsele,2020,9821,9374,447
Borsele,2021,9850,9437,413
Borsele,2022,9896,9497,399
Borsele,2023,10015,9619,396
Boskoop,2012,6168,5905,263
Boskoop,2013,6276,6002,274
Boskoop,2014,,,
Boskoop,2015,,,
Boskoop,2016,,,
Boskoop,2017,,,
Boskoop,2018,,,
Boskoop,2019,,,
Boskoop,2020,,,
Boskoop,2021,,,
Boskoop,2022,,,
Boskoop,2023,,,
Boxmeer,2012,11439,11034,405
Boxmeer,2013,11528,11112,416
Boxmeer,2014,11774,11293,481
Boxmeer,2015,11784,11347,437
Boxmeer,2016,11896,11453,443
Boxmeer,2017,12044,11650,394
Boxmeer,2018,12206,11846,360
Boxmeer,2019,12427,12028,399
Boxmeer,2020,12568,12228,340
Boxmeer,2021,12740,12401,339
Boxmeer,2022,,,
Boxmeer,2023,,,
Boxtel,2012,12729,12106,623
Boxtel,2013,12934,12321,613
Boxtel,2014,13192,12451,741
Boxtel,2015,13214,12552,662
Boxtel,2016,13296,12687,609
Boxtel,2017,13308,12749,559
Boxtel,2018,13333,12831,502
Boxtel,2019,13353,12876,477
Boxtel,2020,13401,12910,491
Boxtel,2021,14379,13837,542
Boxtel,2022,14468,13978,490
Boxtel,2023,14709,14145,564
Breda,2012,77016,73744,3272
Breda,2013,78851,75382,3469
Breda,2014,80716,77131,3585
Breda,2015,81291,78056,3235
Breda,2016,81649,78593,3056
Breda,2017,82231,79485,2746
Breda,2018,83253,80726,2527
Breda,2019,83793,81181,2612
Breda,2020,84567,81718,2849
Breda,2021,85230,82445,2785
Breda,2022,85869,83079,2790
Breda,2023,86727,83812,2915
Brielle,2012,7157,6621,536
Brielle,2013,7478,6892,586
Brielle,2014,7617,6924,693
Brielle,2015,7678,7040,638
Brielle,2016,7683,7098,585
Brielle,2017,7798,7255,543
Brielle,2018,7918,7374,544
Brielle,2019,7963,7464,499
Brielle,2020,8029,7506,523
Brielle,2021,8110,7593,517
Brielle,2022,8230,7704,526
Brielle,2023,,,
Bronckhorst,2012,15566,14732,834
Bronckhorst,2013,15600,14865,735
Bronckhorst,2014,15997,15138,859
Bronckhorst,2015,16074,15234,840
Bronckhorst,2016,16117,15248,869
Bronckhorst,2017,16063,15296,767
Bronckhorst,2018,16088,15399,689
Bronckhorst,2019,16152,15416,736
Bronckhorst,2020,16198,15437,761
Bronckhorst,2021,16213,15486,727
Bronckhorst,2022,16317,15577,740
Bronckhorst,2023,16373,15643,730
Brummen,2012,9038,8701,337
Brummen,2013,9079,8757,322
Brummen,2014,9097,8795,302
Brummen,2015,9250,8967,283
Brummen,2016,9260,8987,273
Brummen,2017,9249,8967,282
Brummen,2018,9279,8996,283
Brummen,2019,9310,8991,319
Brummen,2020,9348,9063,285
Brummen,2021,9416,9133,283
Brummen,2022,9522,9218,304
Brummen,2023,9647,9309,338
Brunssum,2012,14255,13265,990
Brunssum,2013,14355,13353,1002
Brunssum,2014,14555,13372,1183
Brunssum,2015,14534,13346,1188
Brunssum,2016,14511,13392,1119
Brunssum,2017,14464,13425,1039
Brunssum,2018,14508,13475,1033
Brunssum,2019,14479,13464,1015
Brunssum,2020,14493,13415,1078
Brunssum,2021,14464,13437,1027
Brunssum,2022,14517,13513,1004
Brunssum,2023,14512,13430,1082
Bunnik,2012,5940,5734,206
Bunnik,2013,6082,5865,217
Bunnik,2014,6101,5901,200
Bunnik,2015,6207,6000,207
Bunnik,2016,6269,6059,210
Bunnik,2017,6342,6165,177
Bunnik,2018,6371,6206,165
Bunnik,2019,6379,6197,182
Bunnik,2020,6392,6192,200
Bunnik,2021,6484,6283,201
Bunnik,2022,6569,6372,197
Bunnik,2023,6764,6570,194
Bunschoten,2012,7603,7225,378
Bunschoten,2013,7719,7335,384
Bunschoten,2014,7867,7584,283
Bunschoten,2015,7977,7671,306
Bunschoten,2016,8087,7752,335
Bunschoten,2017,8135,7828,307
Bunschoten,2018,8251,7952,299
Bunschoten,2019,8414,8111,303
Bunschoten,2020,8536,8214,322
Bunschoten,2021,8550,8242,308
Bunschoten,2022,8708,8408,300
Bunschoten,2023,8825,8489,336
Buren,2012,10018,9502,516
Buren,2013,10041,9521,520
Buren,2014,10196,9725,471
Buren,2015,10323,9844,479
Buren,2016,10386,9940,446
Buren,2017,10459,10047,412
Buren,2018,10529,10148,381
Buren,2019,10604,10227,377
Buren,2020,10829,10390,439
Buren,2021,10933,10567,366
Buren,2022,11016,10599,417
Buren,2023,11125,10728,397
Bussum,2012,14902,14035,867
Bussum,2013,15124,14247,877
Bussum,2014,15580,14673,907
Bussum,2015,15628,14857,771
Bussum,2016,,,
Bussum,2017,,,
Bussum,2018,,,
Bussum,2019,,,
Bussum,2020,,,
Bussum,2021,,,
Bussum,2022,,,
Bussum,2023,,,
Capelle aan den IJssel,2012,30308,28990,1318
Capelle aan den IJssel,2013,30440,29176,1264
Capelle aan den IJssel,2014,30727,29478,1249
Capelle aan den IJssel,2015,30728,29643,1085
Capelle aan den IJssel,2016,30727,29737,990
Capelle aan den IJssel,2017,30745,29807,938
Capelle aan den IJssel,2018,30748,29949,799
Capelle aan den IJssel,2019,30853,30072,781
Capelle aan den IJssel,2020,31270,30344,926
Capelle aan den IJssel,2021,31556,30603,953
Capelle aan den IJssel,2022,31754,30497,1257
Capelle aan den IJssel,2023,31488,30534,954
Castricum,2012,14940,14270,670
Castricum,2013,15129,14518,611
Castricum,2014,15151,14591,560
Castricum,2015,15317,14743,574
Castricum,2016,15459,14890,569
Castricum,2017,15666,15151,515
Castricum,2018,15814,15326,488
Castricum,2019,15973,15425,548
Castricum,2020,16056,15495,561
Castricum,2021,16231,15697,534
Castricum,2022,16272,15821,451
Castricum,2023,16344,15826,518
Coevorden,2012,16846,14619,2227
Coevorden,2013,15237,14499,738
Coevorden,2014,15330,14669,661
Coevorden,2015,15388,14664,724
Coevorden,2016,15342,14638,704
Coevorden,2017,15283,14616,667
Coevorden,2018,15478,14809,669
Coevorden,2019,15521,14849,672
Coevorden,2020,15555,14914,641
Coevorden,2021,15580,14946,634
Coevorden,2022,15691,15053,638
Coevorden,2023,15895,15101,794
Cranendonck,2012,8567,8207,360
Cranendonck,2013,8630,8235,395
Cranendonck,2014,8715,8325,390
Cranendonck,2015,8756,8426,330
Cranendonck,2016,8781,8476,305
Cranendonck,2017,8841,8520,321
Cranendonck,2018,8887,8557,330
Cranendonck,2019,8962,8624,338
Cranendonck,2020,9007,8684,323
Cranendonck,2021,9044,8690,354
Cranendonck,2022,9113,8787,326
Cranendonck,2023,9139,8846,293
Cromstrijen,2012,5560,5312,248
Cromstrijen,2013,5506,5269,237
Cromstrijen,2014,5557,5296,261
Cromstrijen,2015,5627,5384,243
Cromstrijen,2016,5622,5389,233
Cromstrijen,2017,5625,5425,200
Cromstrijen,2018,5635,5436,199
Cromstrijen,2019,,,
Cromstrijen,2020,,,
Cromstrijen,2021,,,
Cromstrijen,2022,,,
Cromstrijen,2023,,,
Cuijk,2012,10326,9905,421
Cuijk,2013,10497,10071,426
Cuijk,2014,10476,10188,288
Cuijk,2015,10513,10192,321
Cuijk,2016,10787,10314,473
Cuijk,2017,10727,10393,334
Cuijk,2018,10938,10606,332
Cuijk,2019,11094,10627,467
Cuijk,2020,11193,10764,429
Cuijk,2021,11335,11014,321
Cuijk,2022,,,
Cuijk,2023,,,
Culemborg,2012,11348,10944,404
Culemborg,2013,11598,11100,498
Culemborg,2014,11630,11141,489
Culemborg,2015,11529,11111,418
Culemborg,2016,11862,11395,467
Culemborg,2017,12024,11596,428
Culemborg,2018,12177,11802,375
Culemborg,2019,12390,11962,428
Culemborg,2020,12530,12199,331
Culemborg,2021,12729,12351,378
Culemborg,2022,12799,12484,315
Culemborg,2023,13023,12582,441
Dalfsen,2012,10869,10394,475
Dalfsen,2013,11022,10539,483
Dalfsen,2014,11134,10686,448
Dalfsen,2015,11238,10803,435
Dalfsen,2016,11391,10928,463
Dalfsen,2017,11444,11067,377
Dalfsen,2018,11511,11120,391
Dalfsen,2019,11722,11314,408
Dalfsen,2020,11889,11466,423
Dalfsen,2021,12056,11664,392
Dalfsen,2022,12158,11785,373
Dalfsen,2023,12332,11896,436
Dantumadiel,2012,7858,7536,322
Dantumadiel,2013,7867,7548,319
Dantumadiel,2014,8039,7741,298
Dantumadiel,2015,8046,7782,264
Dantumadiel,2016,8065,7814,251
Dantumadiel,2017,8084,7813,271
Dantumadiel,2018,8144,7862,282
Dantumadiel,2019,8147,7913,234
Dantumadiel,2020,8164,7953,211
Dantumadiel,2021,8202,8010,192
Dantumadiel,2022,8242,8045,197
Dantumadiel,2023,8263,8068,195
Delft,2012,48035,45523,2512
Delft,2013,48329,45787,2542
Delft,2014,48438,46126,2312
Delft,2015,49199,46737,2462
Delft,2016,49627,47219,2408
Delft,2017,49838,47469,2369
Delft,2018,49855,47610,2245
Delft,2019,50610,48247,2363
Delft,2020,50904,48654,2250
Delft,2021,51495,48992,2503
Delft,2022,52130,49890,2240
Delft,2023,52816,50334,2482
Delfzijl,2012,11982,11203,779
Delfzijl,2013,12027,11210,817
Delfzijl,2014,12229,11394,835
Delfzijl,2015,12232,11367,865
Delfzijl,2016,12273,11323,950
Delfzijl,2017,12237,11257,980
Delfzijl,2018,12241,11350,891
Delfzijl,2019,12182,11331,851
Delfzijl,2020,12223,11332,891
Delfzijl,2021,,,
Delfzijl,2022,,,
Delfzijl,2023,,,
Deurne,2012,12829,12358,471
Deurne,2013,12994,12486,508
Deurne,2014,13198,12578,620
Deurne,2015,13344,12841,503
Deurne,2016,13433,12995,438
Deurne,2017,13523,13085,438
Deurne,2018,13644,13231,413
Deurne,2019,13887,13424,463
Deurne,2020,13955,13516,439
Deurne,2021,14052,13572,480
Deurne,2022,14165,13730,435
Deurne,2023,14312,13877,435
Deventer,2012,42268,40678,1590
Deventer,2013,42092,40565,1527
Deventer,2014,42203,40425,1778
Deventer,2015,42858,40881,1977
Deventer,2016,43643,41615,2028
Deventer,2017,44653,43032,1621
Deventer,2018,44707,43301,1406
Deventer,2019,45313,43739,1574
Deventer,2020,45988,44455,1533
Deventer,2021,46224,44763,1461
Deventer,2022,46469,45074,1395
Deventer,2023,47015,45501,1514
Diemen,2012,11843,11296,547
Diemen,2013,11891,11378,513
Diemen,2014,12657,11939,718
Diemen,2015,13132,12484,648
Diemen,2016,13216,12581,635
Diemen,2017,12770,12140,630
Diemen,2018,13136,12541,595
Diemen,2019,13803,13101,702
Diemen,2020,15015,14000,1015
Diemen,2021,15467,14475,992
Diemen,2022,16069,14792,1277
Diemen,2023,15959,15104,855
Dijk en Waard,2012,,,
Dijk en Waard,2013,,,
Dijk en Waard,2014,,,
Dijk en Waard,2015,,,
Dijk en Waard,2016,,,
Dijk en Waard,2017,,,
Dijk en Waard,2018,,,
Dijk en Waard,2019,,,
Dijk en Waard,2020,,,
Dijk en Waard,2021,,,
Dijk en Waard,2022,36664,35847,817
Dijk en Waard,2023,37459,36575,884
Dinkelland,2012,10105,9336,769
Dinkelland,2013,10215,9459,756
Dinkelland,2014,10445,9614,831
Dinkelland,2015,10461,9670,791
Dinkelland,2016,10528,9739,789
Dinkelland,2017,10661,9885,776
Dinkelland,2018,10774,10016,758
Dinkelland,2019,10900,10142,758
Dinkelland,2020,10939,10193,746
Dinkelland,2021,11047,10303,744
Dinkelland,2022,11107,10391,716
Dinkelland,2023,11186,10436,750
Dirksland,2012,3345,3180,165
Dirksland,2013,,,
Dirksland,2014,,,
Dirksland,2015,,,
Dirksland,2016,,,
Dirksland,2017,,,
Dirksland,2018,,,
Dirksland,2019,,,
Dirksland,2020,,,
Dirksland,2021,,,
Dirksland,2022,,,
Dirksland,2023,,,
Doesburg,2012,5207,4924,283
Doesburg,2013,5168,4944,224
Doesburg,2014,5171,4975,196
Doesburg,2015,5167,4983,184
Doesburg,2016,5238,5067,171
Doesburg,2017,5248,5081,167
Doesburg,2018,5279,5128,151
Doesburg,2019,5286,5112,174
Doesburg,2020,5293,5102,191
Doesburg,2021,5313,5126,187
Doesburg,2022,5330,5168,162
Doesburg,2023,5380,5200,180
Doetinchem,2012,24288,23445,843
Doetinchem,2013,24523,23622,901
Doetinchem,2014,24848,24013,835
Doetinchem,2015,25039,24217,822
Doetinchem,2016,25180,24418,762
Doetinchem,2017,25477,24677,800
Doetinchem,2018,25628,24937,691
Doetinchem,2019,25926,25149,777
Doetinchem,2020,26129,25386,743
Doetinchem,2021,26509,25644,865
Doetinchem,2022,26730,25900,830
Doetinchem,2023,26836,26044,792
Dongen,2012,10520,10147,373
Dongen,2013,10646,10332,314
Dongen,2014,10726,10426,300
Dongen,2015,10780,10508,272
Dongen,2016,10792,10537,255
Dongen,2017,10838,10571,267
Dongen,2018,11075,10779,296
Dongen,2019,11241,10917,324
Dongen,2020,11289,10989,300
Dongen,2021,11456,11159,297
Dongen,2022,11539,11226,313
Dongen,2023,11732,11373,359
Dongeradeel,2012,10558,9981,577
Dongeradeel,2013,10622,10038,584
Dongeradeel,2014,10856,10273,583
Dongeradeel,2015,10888,10285,603
Dongeradeel,2016,10886,10293,593
Dongeradeel,2017,10983,10345,638
Dongeradeel,2018,11024,10351,673
Dongeradeel,2019,,,
Dongeradeel,2020,,,
Dongeradeel,2021,,,
Dongeradeel,2022,,,
Dongeradeel,2023,,,
Dordrecht,2012,53973,51118,2855
Dordrecht,2013,54565,51456,3109
Dordrecht,2014,54528,51721,2807
Dordrecht,2015,54548,51905,2643
Dordrecht,2016,54853,52046,2807
Dordrecht,2017,54868,52072,2796
Dordrecht,2018,55059,52124,2935
Dordrecht,2019,55008,52422,2586
Dordrecht,2020,55279,52744,2535
Dordrecht,2021,55813,53101,2712
Dordrecht,2022,56247,53461,2786
Dordrecht,2023,56596,53929,2667
Drechterland,2012,7804,7565,239
Drechterland,2013,7876,7638,238
Drechterland,2014,8018,7765,253
Drechterland,2015,8045,7806,239
Drechterland,2016,8107,7855,252
Drechterland,2017,8154,7909,245
Drechterland,2018,8202,7938,264
Drechterland,2019,8280,8004,276
Drechterland,2020,8373,8116,257
Drechterland,2021,8410,8161,249
Drechterland,2022,8456,8251,205
Drechterland,2023,8602,8353,249
Drimmelen,2012,11105,10538,567
Drimmelen,2013,11156,10666,490
Drimmelen,2014,11364,10915,449
Drimmelen,2015,11435,11019,416
Drimmelen,2016,11501,11105,396
Drimmelen,2017,11601,11158,443
Drimmelen,2018,11708,11295,413
Drimmelen,2019,11779,11347,432
Drimmelen,2020,11761,11412,349
Drimmelen,2021,11845,11478,367
Drimmelen,2022,11984,11621,363
Drimmelen,2023,12182,11763,419
Dronten,2012,17043,15520,1523
Dronten,2013,17192,15687,1505
Dronten,2014,17231,15765,1466
Dronten,2015,17369,15883,1486
Dronten,2016,16495,15876,619
Dronten,2017,16603,16053,550
Dronten,2018,16901,16182,719
Dronten,2019,17140,16342,798
Dronten,2020,17390,16636,754
Dronten,2021,17730,16929,801
Dronten,2022,18085,17367,718
Dronten,2023,18344,17595,749
Druten,2012,7290,6988,302
Druten,2013,7348,7062,286
Druten,2014,7495,7214,281
Druten,2015,7607,7350,257
Druten,2016,7662,7427,235
Druten,2017,7807,7570,237
Druten,2018,7983,7697,286
Druten,2019,8047,7746,301
Druten,2020,8126,7845,281
Druten,2021,8202,7918,284
Druten,2022,8345,7998,347
Druten,2023,8433,8061,372
Duiven,2012,10390,10116,274
Duiven,2013,10513,10243,270
Duiven,2014,10605,10364,241
Duiven,2015,10616,10382,234
Duiven,2016,10635,10412,223
Duiven,2017,10645,10432,213
Duiven,2018,10678,10505,173
Duiven,2019,10708,10536,172
Duiven,2020,10743,10556,187
Duiven,2021,10760,10602,158
Duiven,2022,10780,10605,175
Duiven,2023,10865,10652,213
Echt-Susteren,2012,14085,13476,609
Echt-Susteren,2013,14147,13529,618
Echt-Susteren,2014,14360,13554,806
Echt-Susteren,2015,14402,13622,780
Echt-Susteren,2016,14450,13834,616
Echt-Susteren,2017,14497,13875,622
Echt-Susteren,2018,14532,13922,610
Echt-Susteren,2019,14540,13937,603
Echt-Susteren,2020,14595,13970,625
Echt-Susteren,2021,14713,14093,620
Echt-Susteren,2022,14743,14167,576
Echt-Susteren,2023,14911,14282,629
Edam-Volendam,2012,11761,10808,953
Edam-Volendam,2013,11876,10814,1062
Edam-Volendam,2014,12161,11470,691
Edam-Volendam,2015,12285,11696,589
Edam-Volendam,2016,14939,14282,657
Edam-Volendam,2017,14819,14384,435
Edam-Volendam,2018,14915,14502,413
Edam-Volendam,2019,15029,14629,400
Edam-Volendam,2020,15120,14697,423
Edam-Volendam,2021,15432,14904,528
Edam-Volendam,2022,15565,15127,438
Edam-Volendam,2023,15678,15184,494
Ede,2012,46871,40773,6098
Ede,2013,47600,41551,6049
Ede,2014,47757,42237,5520
Ede,2015,48250,42771,5479
Ede,2016,48915,43444,5471
Ede,2017,49703,44296,5407
Ede,2018,48007,44961,3046
Ede,2019,48552,45733,2819
Ede,2020,49152,46709,2443
Ede,2021,50056,47539,2517
Ede,2022,50743,48303,2440
Ede,2023,51718,49019,2699
Eemnes,2012,3438,3326,112
Eemnes,2013,3591,3426,165
Eemnes,2014,3590,3454,136
Eemnes,2015,3619,3519,100
Eemnes,2016,3665,3568,97
Eemnes,2017,3687,3605,82
Eemnes,2018,3812,3719,93
Eemnes,2019,3910,3771,139
Eemnes,2020,4008,3890,118
Eemnes,2021,4091,3959,132
Eemnes,2022,4098,3974,124
Eemnes,2023,4125,4014,111
Eemsdelta,2012,,,
Eemsdelta,2013,,,
Eemsdelta,2014,,,
Eemsdelta,2015,,,
Eemsdelta,2016,,,
Eemsdelta,2017,,,
Eemsdelta,2018,,,
Eemsdelta,2019,,,
Eemsdelta,2020,,,
Eemsdelta,2021,23083,21246,1837
Eemsdelta,2022,23177,21135,2042
Eemsdelta,2023,23587,21174,2413
Eemsmond,2012,7407,6897,510
Eemsmond,2013,7349,6882,467
Eemsmond,2014,7444,6930,514
Eemsmond,2015,7464,6974,490
Eemsmond,2016,7471,7045,426
Eemsmond,2017,7410,7028,382
Eemsmond,2018,7410,7024,386
Eemsmond,2019,,,
Eemsmond,2020,,,
Eemsmond,2021,,,
Eemsmond,2022,,,
Eemsmond,2023,,,
Eersel,2012,7647,7263,384
Eersel,2013,7725,7289,436
Eersel,2014,7856,7413,443
Eersel,2015,7946,7494,452
Eersel,2016,8008,7585,423
Eersel,2017,8035,7598,437
Eersel,2018,8071,7675,396
Eersel,2019,8277,7840,437
Eersel,2020,8402,7954,448
Eersel,2021,8511,8066,445
Eersel,2022,8616,8183,433
Eersel,2023,8662,8244,418
Eijsden-Margraten,2012,10415,9788,627
Eijsden-Margraten,2013,10486,9853,633
Eijsden-Margraten,2014,10712,10086,626
Eijsden-Margraten,2015,10781,10193,588
Eijsden-Margraten,2016,10888,10297,591
Eijsden-Margraten,2017,10979,10374,605
Eijsden-Margraten,2018,11181,10592,589
Eijsden-Margraten,2019,11208,10658,550
Eijsden-Margraten,2020,11326,10776,550
Eijsden-Margraten,2021,11367,10827,540
Eijsden-Margraten,2022,11426,10938,488
Eijsden-Margraten,2023,11488,10970,518
Eindhoven,2012,101412,96428,4984
Eindhoven,2013,101969,97178,4791
Eindhoven,2014,103507,98924,4583
Eindhoven,2015,104287,100133,4154
Eindhoven,2016,106732,101187,5545
Eindhoven,2017,107812,102704,5108
Eindhoven,2018,109468,104732,4736
Eindhoven,2019,111295,106537,4758
Eindhoven,2020,112965,108308,4657
Eindhoven,2021,114398,109779,4619
Eindhoven,2022,116056,111815,4241
Eindhoven,2023,118333,113863,4470
Elburg,2012,8659,8288,371
Elburg,2013,8762,8419,343
Elburg,2014,8983,8685,298
Elburg,2015,9101,8788,313
Elburg,2016,9170,8852,318
Elburg,2017,9186,8913,273
Elburg,2018,9274,8994,280
Elburg,2019,9268,8990,278
Elburg,2020,9356,9070,286
Elburg,2021,9595,9271,324
Elburg,2022,9752,9471,281
Elburg,2023,9761,9512,249
Emmen,2012,51220,45639,5581
Emmen,2013,48540,45750,2790
Emmen,2014,49264,46262,3002
Emmen,2015,49120,46471,2649
Emmen,2016,49118,46711,2407
Emmen,2017,48789,47027,1762
Emmen,2018,48923,47248,1675
Emmen,2019,49187,47412,1775
Emmen,2020,49308,47660,1648
Emmen,2021,49528,47864,1664
Emmen,2022,50002,48461,1541
Emmen,2023,50332,48578,1754
Enkhuizen,2012,8343,8031,312
Enkhuizen,2013,8399,8098,301
Enkhuizen,2014,8540,8227,313
Enkhuizen,2015,8613,8243,370
Enkhuizen,2016,8642,8308,334
Enkhuizen,2017,8689,8379,310
Enkhuizen,2018,8717,8396,321
Enkhuizen,2019,8754,8447,307
Enkhuizen,2020,8824,8520,304
Enkhuizen,2021,8880,8563,317
Enkhuizen,2022,8871,8590,281
Enkhuizen,2023,8927,8622,305
Enschede,2012,74142,69905,4237
Enschede,2013,74502,70475,4027
Enschede,2014,74787,71033,3754
Enschede,2015,75030,71097,3933
Enschede,2016,75056,71305,3751
Enschede,2017,74564,71111,3453
Enschede,2018,73672,70396,3276
Enschede,2019,74588,70798,3790
Enschede,2020,75222,71816,3406
Enschede,2021,75925,72503,3422
Enschede,2022,76250,73163,3087
Enschede,2023,77059,73454,3605
Epe,2012,13662,13008,654
Epe,2013,13698,13032,666
Epe,2014,13802,13038,764
Epe,2015,13839,13092,747
Epe,2016,14097,13380,717
Epe,2017,14177,13504,673
Epe,2018,14243,13608,635
Epe,2019,14349,13768,581
Epe,2020,14586,13985,601
Epe,2021,14697,14057,640
Epe,2022,14792,14204,588
Epe,2023,14844,14196,648
Ermelo,2012,10295,9560,735
Ermelo,2013,10301,9593,708
Ermelo,2014,10620,9895,725
Ermelo,2015,10781,10089,692
Ermelo,2016,10785,10248,537
Ermelo,2017,10861,10310,551
Ermelo,2018,10948,10398,550
Ermelo,2019,11002,10467,535
Ermelo,2020,11156,10575,581
Ermelo,2021,11360,10724,636
Ermelo,2022,11450,10821,629
Ermelo,2023,11647,10910,737
Etten-Leur,2012,17468,17009,459
Etten-Leur,2013,18043,17455,588
Etten-Leur,2014,18152,17592,560
Etten-Leur,2015,18183,17692,491
Etten-Leur,2016,18408,17912,496
Etten-Leur,2017,18513,18099,414
Etten-Leur,2018,18732,18325,407
Etten-Leur,2019,18967,18533,434
Etten-Leur,2020,19093,18664,429
Etten-Leur,2021,19154,18719,435
Etten-Leur,2022,19252,18851,401
Etten-Leur,2023,19766,19178,588
Ferwerderadiel,2012,3807,3537,270
Ferwerderadiel,2013,3797,3508,289
Ferwerderadiel,2014,3740,3528,212
Ferwerderadiel,2015,3852,3650,202
Ferwerderadiel,2016,3860,3642,218
Ferwerderadiel,2017,3853,3669,184
Ferwerderadiel,2018,3847,3669,178
Ferwerderadiel,2019,,,
Ferwerderadiel,2020,,,
Ferwerderadiel,2021,,,
Ferwerderadiel,2022,,,
Ferwerderadiel,2023,,,
Franekeradeel,2012,9318,8690,628
Franekeradeel,2013,9269,8686,583
Franekeradeel,2014,9510,8894,616
Franekeradeel,2015,9488,8907,581
Franekeradeel,2016,9501,8924,577
Franekeradeel,2017,9497,8923,574
Franekeradeel,2018,,,
Franekeradeel,2019,,,
Franekeradeel,2020,,,
Franekeradeel,2021,,,
Franekeradeel,2022,,,
Franekeradeel,2023,,,
De Friese Meren,2012,,,
De Friese Meren,2013,,,
De Friese Meren,2014,22691,21109,1582
De Friese Meren,2015,22724,21265,1459
De Friese Meren,2016,,,
De Friese Meren,2017,,,
De Friese Meren,2018,,,
De Friese Meren,2019,,,
De Friese Meren,2020,,,
De Friese Meren,2021,,,
De Friese Meren,2022,,,
De Friese Meren,2023,,,
De Fryske Marren,2012,,,
De Fryske Marren,2013,,,
De Fryske Marren,2014,,,
De Fryske Marren,2015,,,
De Fryske Marren,2016,22818,21381,1437
De Fryske Marren,2017,22887,21483,1404
De Fryske Marren,2018,23086,21702,1384
De Fryske Marren,2019,23209,21811,1398
De Fryske Marren,2020,23347,21900,1447
De Fryske Marren,2021,23460,22038,1422
De Fryske Marren,2022,23564,22108,1456
De Fryske Marren,2023,23593,22122,1471
Gaasterlân-Sleat,2012,4791,4182,609
Gaasterlân-Sleat,2013,4493,4180,313
Gaasterlân-Sleat,2014,,,
Gaasterlân-Sleat,2015,,,
Gaasterlân-Sleat,2016,,,
Gaasterlân-Sleat,2017,,,
Gaasterlân-Sleat,2018,,,
Gaasterlân-Sleat,2019,,,
Gaasterlân-Sleat,2020,,,
Gaasterlân-Sleat,2021,,,
Gaasterlân-Sleat,2022,,,
Gaasterlân-Sleat,2023,,,
Geertruidenberg,2012,9376,8957,419
Geertruidenberg,2013,9395,9017,378
