"Status van bewoning";"Perioden";"Regio's";"Totale woningvoorraad (aantal)";"Koopwoningen (aantal)";"Huurwoningen/Totaal huurwoningen (aantal)";"Huurwoningen/Eigendom woningcorporatie (aantal)";"Huurwoningen/Eigendom overige verhuurders (aantal)";"Eigendom onbekend (aantal)"
"Totaal";"2014";"Utrecht (PV)";"  539078";"  308395";"  224440";"  153103";"   71337";"    6243"
"Totaal";"2015";"Utrecht (PV)";"  543473";"  310707";"  225860";"  155523";"   70337";"    6906"
"Totaal";"2016";"Utrecht (PV)";"  548114";"  313875";"  227499";"  153959";"   73540";"    6740"
"Totaal";"2017";"Utrecht (PV)";"  554305";"  316916";"  230281";"  153801";"   76480";"    7108"
"Totaal";"2018";"Utrecht (PV)";"  557564";"  319764";"  231170";"  153840";"   77330";"    6630"
"Totaal";"2019";"Utrecht (PV)";"  578906";"  339464";"  237872";"  160241";"   77631";"    1570"
"Totaal";"2020";"Utrecht (PV)";"  585924";"  342060";"  242976";"  160642";"   82334";"     888"
"Totaal";"2021";"Utrecht (PV)";"  593799";"  344137";"  248614";"  161984";"   86630";"    1048"
"Totaal";"2022";"Utrecht (PV)";"  601096";"  348377";"  251891";"  162723";"   89168";"     828"
"Totaal";"2023";"Utrecht (PV)";"  608195";"  351254";"  256169";"  163310";"   92859";"     772"
"Totaal";"2012";"Noord-Holland (PV)";" 1253521";"  620197";"  619294";"  432874";"  186420";"   14030"
"Totaal";"2013";"Noord-Holland (PV)";" 1262787";"  627582";"  624358";"  431082";"  193276";"   10847"
"Totaal";"2014";"Noord-Holland (PV)";" 1278533";"  632826";"  632575";"  429679";"  202896";"   13132"
"Totaal";"2015";"Noord-Holland (PV)";" 1287671";"  640136";"  637529";"  435314";"  202215";"   10006"
"Totaal";"2016";"Noord-Holland (PV)";" 1300094";"  647361";"  640877";"  429352";"  211525";"   11856"
"Totaal";"2017";"Noord-Holland (PV)";" 1307353";"  651685";"  644568";"  426362";"  218206";"   11100"
"Totaal";"2018";"Noord-Holland (PV)";" 1318336";"  663831";"  643922";"  425818";"  218104";"   10583"
"Totaal";"2019";"Noord-Holland (PV)";" 1334099";"  677299";"  653156";"  433585";"  219571";"    3644"
"Totaal";"2020";"Noord-Holland (PV)";" 1348750";"  680718";"  665456";"  431439";"  234017";"    2576"
"Totaal";"2021";"Noord-Holland (PV)";" 1359800";"  684465";"  673017";"  432776";"  240241";"    2318"
"Totaal";"2022";"Noord-Holland (PV)";" 1376949";"  692435";"  682316";"  434956";"  247360";"    2198"
"Totaal";"2023";"Noord-Holland (PV)";" 1392040";"  697661";"  692752";"  437156";"  255596";"    1627"
"Totaal";"2012";"Zuid-Holland (PV)";" 1605446";"  820320";"  769570";"  562432";"  207138";"   15556"
"Totaal";"2013";"Zuid-Holland (PV)";" 1618645";"  827244";"  778693";"  563067";"  215626";"   12708"
"Totaal";"2014";"Zuid-Holland (PV)";" 1636097";"  832573";"  786333";"  561068";"  225265";"   17191"
"Totaal";"2015";"Zuid-Holland (PV)";" 1647422";"  839841";"  789375";"  566308";"  223067";"   18206"
"Totaal";"2016";"Zuid-Holland (PV)";" 1657234";"  847024";"  791373";"  558331";"  233042";"   18837"
"Totaal";"2017";"Zuid-Holland (PV)";" 1666690";"  852835";"  796788";"  557643";"  239145";"   17067"
"Totaal";"2018";"Zuid-Holland (PV)";" 1677634";"  861111";"  798824";"  554990";"  243834";"   17699"
"Totaal";"2019";"Zuid-Holland (PV)";" 1675517";"  875435";"  793487";"  554827";"  238660";"    6595"
"Totaal";"2020";"Zuid-Holland (PV)";" 1692888";"  881914";"  807272";"  555587";"  251685";"    3702"
"Totaal";"2021";"Zuid-Holland (PV)";" 1709692";"  887826";"  818285";"  555477";"  262808";"    3581"
"Totaal";"2022";"Zuid-Holland (PV)";" 1724095";"  896328";"  824925";"  554982";"  269943";"    2842"
"Totaal";"2023";"Zuid-Holland (PV)";" 1739207";"  904057";"  832830";"  555007";"  277823";"    2320"
"Totaal";"2012";"Zeeland (PV)";"  181244";"  118324";"   61595";"   43105";"   18490";"    1325"
"Totaal";"2013";"Zeeland (PV)";"  180369";"  117750";"   61712";"   43364";"   18348";"     907"
"Totaal";"2014";"Zeeland (PV)";"  182368";"  117631";"   62694";"   43190";"   19504";"    2043"
"Totaal";"2015";"Zeeland (PV)";"  182668";"  118288";"   62533";"   43196";"   19337";"    1847"
"Totaal";"2016";"Zeeland (PV)";"  183611";"  118997";"   62351";"   43029";"   19322";"    2263"
"Totaal";"2017";"Zeeland (PV)";"  184354";"  119028";"   63069";"   42860";"   20209";"    2257"
"Totaal";"2018";"Zeeland (PV)";"  185264";"  120926";"   62063";"   42648";"   19415";"    2275"
"Totaal";"2019";"Zeeland (PV)";"  186528";"  123844";"   60133";"   42406";"   17727";"    2551"
"Totaal";"2020";"Zeeland (PV)";"  187611";"  124132";"   61337";"   42201";"   19136";"    2142"
"Totaal";"2021";"Zeeland (PV)";"  188560";"  125046";"   61276";"   41683";"   19593";"    2238"
"Totaal";"2022";"Zeeland (PV)";"  189397";"  126327";"   60894";"   41216";"   19678";"    2176"
"Totaal";"2023";"Zeeland (PV)";"  190577";"  127223";"   61401";"   41483";"   19918";"    1953"
"Totaal";"2012";"Noord-Brabant (PV)";" 1050418";"  646933";"  395889";"  302093";"   93796";"    7596"
"Totaal";"2013";"Noord-Brabant (PV)";" 1062383";"  653545";"  403608";"  305423";"   98185";"    5230"
"Totaal";"2014";"Noord-Brabant (PV)";" 1078782";"  656849";"  413771";"  308949";"  104822";"    8162"
"Totaal";"2015";"Noord-Brabant (PV)";" 1087416";"  660865";"  418506";"  310421";"  108085";"    8045"
"Totaal";"2016";"Noord-Brabant (PV)";" 1096399";"  665758";"  420089";"  308258";"  111831";"   10552"
"Totaal";"2017";"Noord-Brabant (PV)";" 1104296";"  668710";"  425705";"  307776";"  117929";"    9881"
"Totaal";"2018";"Noord-Brabant (PV)";" 1116102";"  679262";"  427240";"  308532";"  118708";"    9600"
"Totaal";"2019";"Noord-Brabant (PV)";" 1128847";"  693058";"  433115";"  313769";"  119346";"    2674"
"Totaal";"2020";"Noord-Brabant (PV)";" 1140611";"  698249";"  440977";"  314525";"  126452";"    1385"
"Totaal";"2021";"Noord-Brabant (PV)";" 1151426";"  703732";"  446421";"  314933";"  131488";"    1273"
"Totaal";"2022";"Noord-Brabant (PV)";" 1164414";"  711374";"  451723";"  316470";"  135253";"    1317"
"Totaal";"2023";"Noord-Brabant (PV)";" 1178274";"  717710";"  459618";"  318610";"  141008";"     946"
"Totaal";"2012";"Limburg (PV)";"  510025";"  307671";"  197174";"  138448";"   58726";"    5180"
"Totaal";"2013";"Limburg (PV)";"  514028";"  308685";"  201546";"  139404";"   62142";"    3797"
"Totaal";"2014";"Limburg (PV)";"  520664";"  310860";"  203336";"  140524";"   62812";"    6468"
"Totaal";"2015";"Limburg (PV)";"  523368";"  310288";"  206670";"  141331";"   65339";"    6410"
"Totaal";"2016";"Limburg (PV)";"  524633";"  310626";"  207496";"  140503";"   66993";"    6511"
"Totaal";"2017";"Limburg (PV)";"  527097";"  311131";"  209638";"  140314";"   69324";"    6328"
"Totaal";"2018";"Limburg (PV)";"  529301";"  315862";"  207042";"  138394";"   68648";"    6397"
"Totaal";"2019";"Limburg (PV)";"  531082";"  321316";"  207443";"  139942";"   67501";"    2323"
"Totaal";"2020";"Limburg (PV)";"  533231";"  322134";"  209492";"  139698";"   69794";"    1605"
"Totaal";"2021";"Limburg (PV)";"  536617";"  323975";"  210965";"  139811";"   71154";"    1677"
"Totaal";"2022";"Limburg (PV)";"  540435";"  326245";"  212471";"  139580";"   72891";"    1719"
"Totaal";"2023";"Limburg (PV)";"  544760";"  327911";"  215295";"  140300";"   74995";"    1554"
"Totaal";"2012";"Aa en Hunze";"   12414";"    8334";"    3204";"    1971";"    1233";"     876"
"Totaal";"2013";"Aa en Hunze";"   11214";"    7963";"    3023";"    1995";"    1028";"     228"
"Totaal";"2014";"Aa en Hunze";"   11173";"    7896";"    3110";"    1948";"    1162";"     167"
"Totaal";"2015";"Aa en Hunze";"   11150";"    7869";"    3148";"    2098";"    1050";"     133"
"Totaal";"2016";"Aa en Hunze";"   11131";"    7916";"    3045";"    1967";"    1078";"     170"
"Totaal";"2017";"Aa en Hunze";"   11145";"    7880";"    3092";"    1964";"    1128";"     173"
"Totaal";"2018";"Aa en Hunze";"   11165";"    8157";"    2839";"    1969";"     870";"     169"
"Totaal";"2019";"Aa en Hunze";"   11257";"    8342";"    2898";"    2224";"     674";"      17"
"Totaal";"2020";"Aa en Hunze";"   11179";"    8338";"    2841";"    2218";"     623";"       0"
"Totaal";"2021";"Aa en Hunze";"   11207";"    8378";"    2829";"    2213";"     616";"       0"
"Totaal";"2022";"Aa en Hunze";"   11336";"    8500";"    2836";"    2228";"     608";"       0"
"Totaal";"2023";"Aa en Hunze";"   11428";"    8576";"    2847";"    2238";"     609";"       5"
"Totaal";"2012";"Aalburg";"    4769";"    3455";"    1307";"     983";"     324";"       7"
"Totaal";"2013";"Aalburg";"    4857";"    3499";"    1351";"    1004";"     347";"       7"
"Totaal";"2014";"Aalburg";"    4971";"    3540";"    1389";"    1012";"     377";"      42"
"Totaal";"2015";"Aalburg";"    5020";"    3542";"    1427";"     962";"     465";"      51"
"Totaal";"2016";"Aalburg";"    5031";"    3611";"    1407";"     939";"     468";"      13"
"Totaal";"2017";"Aalburg";"    5071";"    3629";"    1434";"     927";"     507";"       8"
"Totaal";"2018";"Aalburg";"    5109";"    3701";"    1375";"     943";"     432";"      33"
"Totaal";"2019";"Aalburg";"";"";"";"";"";""
"Totaal";"2020";"Aalburg";"";"";"";"";"";""
"Totaal";"2021";"Aalburg";"";"";"";"";"";""
"Totaal";"2022";"Aalburg";"";"";"";"";"";""
"Totaal";"2023";"Aalburg";"";"";"";"";"";""
"Totaal";"2012";"Aalsmeer";"   12267";"    7857";"    4340";"    3055";"    1285";"      70"
"Totaal";"2013";"Aalsmeer";"   12354";"    7913";"    4395";"    3052";"    1343";"      46"
"Totaal";"2014";"Aalsmeer";"   12780";"    8057";"    4468";"    3151";"    1317";"     255"
"Totaal";"2015";"Aalsmeer";"   12803";"    8107";"    4501";"    3195";"    1306";"     195"
"Totaal";"2016";"Aalsmeer";"   12893";"    8144";"    4500";"    3135";"    1365";"     249"
"Totaal";"2017";"Aalsmeer";"   12919";"    8158";"    4516";"    3134";"    1382";"     245"
"Totaal";"2018";"Aalsmeer";"   12888";"    8262";"    4382";"    3092";"    1290";"     244"
"Totaal";"2019";"Aalsmeer";"   13091";"    8458";"    4629";"    3109";"    1520";"       4"
"Totaal";"2020";"Aalsmeer";"   13217";"    8557";"    4656";"    3115";"    1541";"       4"
"Totaal";"2021";"Aalsmeer";"   13284";"    8600";"    4680";"    3150";"    1530";"       4"
"Totaal";"2022";"Aalsmeer";"   13368";"    8638";"    4726";"    3215";"    1511";"       4"
"Totaal";"2023";"Aalsmeer";"   13460";"    8682";"    4771";"    3216";"    1555";"       7"
"Totaal";"2012";"Aalten";"   11504";"    7973";"    3492";"    2467";"    1025";"      39"
"Totaal";"2013";"Aalten";"   11451";"    8044";"    3384";"    2414";"     970";"      23"
"Totaal";"2014";"Aalten";"   11687";"    8102";"    3401";"    2389";"    1012";"     184"
"Totaal";"2015";"Aalten";"   11775";"    8164";"    3417";"    2344";"    1073";"     194"
"Totaal";"2016";"Aalten";"   11811";"    8204";"    3416";"    2288";"    1128";"     191"
"Totaal";"2017";"Aalten";"   11872";"    8262";"    3418";"    2282";"    1136";"     192"
"Totaal";"2018";"Aalten";"   11922";"    8318";"    3424";"    2303";"    1121";"     180"
"Totaal";"2019";"Aalten";"   11971";"    8476";"    3476";"    2298";"    1178";"      19"
"Totaal";"2020";"Aalten";"   11976";"    8510";"    3445";"    2315";"    1130";"      21"
"Totaal";"2021";"Aalten";"   12028";"    8597";"    3411";"    2307";"    1104";"      20"
"Totaal";"2022";"Aalten";"   12095";"    8641";"    3449";"    2312";"    1137";"       5"
"Totaal";"2023";"Aalten";"   12164";"    8707";"    3446";"    2311";"    1135";"      11"
"Totaal";"2012";"Achtkarspelen";"   11663";"    7473";"    4160";"    3635";"     525";"      30"
"Totaal";"2013";"Achtkarspelen";"   11711";"    7508";"    4175";"    3633";"     542";"      28"
"Totaal";"2014";"Achtkarspelen";"   11894";"    7510";"    4205";"    3632";"     573";"     179"
"Totaal";"2015";"Achtkarspelen";"   11917";"    7555";"    4184";"    3594";"     590";"     178"
"Totaal";"2016";"Achtkarspelen";"   11946";"    7571";"    4195";"    3499";"     696";"     180"
"Totaal";"2017";"Achtkarspelen";"   12028";"    7551";"    4293";"    3538";"     755";"     184"
"Totaal";"2018";"Achtkarspelen";"   12075";"    7714";"    4166";"    3602";"     564";"     195"
"Totaal";"2019";"Achtkarspelen";"   12118";"    7757";"    4344";"    3772";"     572";"      17"
"Totaal";"2020";"Achtkarspelen";"   12129";"    7734";"    4392";"    3751";"     641";"       3"
"Totaal";"2021";"Achtkarspelen";"   12181";"    7755";"    4423";"    3754";"     669";"       3"
"Totaal";"2022";"Achtkarspelen";"   12264";"    7802";"    4460";"    3762";"     698";"       2"
"Totaal";"2023";"Achtkarspelen";"   12289";"    7854";"    4434";"    3717";"     717";"       1"
"Totaal";"2012";"Alblasserdam";"    8083";"    4726";"    3350";"    2820";"     530";"       7"
"Totaal";"2013";"Alblasserdam";"    8111";"    4757";"    3348";"    2805";"     543";"       6"
"Totaal";"2014";"Alblasserdam";"    8122";"    4774";"    3343";"    2794";"     549";"       5"
"Totaal";"2015";"Alblasserdam";"    8138";"    4830";"    3294";"    2781";"     513";"      14"
"Totaal";"2016";"Alblasserdam";"    8220";"    4943";"    3243";"    2734";"     509";"      34"
"Totaal";"2017";"Alblasserdam";"    8252";"    4920";"    3328";"    2753";"     575";"       4"
"Totaal";"2018";"Alblasserdam";"    8276";"    5011";"    3255";"    2757";"     498";"      10"
"Totaal";"2019";"Alblasserdam";"    8324";"    5104";"    3211";"    2752";"     459";"       9"
"Totaal";"2020";"Alblasserdam";"    8353";"    5096";"    3253";"    2755";"     498";"       4"
"Totaal";"2021";"Alblasserdam";"    8408";"    5132";"    3244";"    2754";"     490";"      32"
"Totaal";"2022";"Alblasserdam";"    8415";"    5189";"    3222";"    2754";"     468";"       4"
"Totaal";"2023";"Alblasserdam";"    8449";"    5229";"    3216";"    2753";"     463";"       4"
"Totaal";"2012";"Albrandswaard";"    9822";"    6612";"    3141";"    2594";"     547";"      69"
"Totaal";"2013";"Albrandswaard";"   10059";"    6811";"    3218";"    2624";"     594";"      30"
"Totaal";"2014";"Albrandswaard";"   10165";"    6828";"    3248";"    2604";"     644";"      89"
"Totaal";"2015";"Albrandswaard";"   10167";"    6826";"    3255";"    2612";"     643";"      86"
"Totaal";"2016";"Albrandswaard";"   10208";"    6867";"    3255";"    2653";"     602";"      86"
"Totaal";"2017";"Albrandswaard";"   10286";"    6923";"    3275";"    2656";"     619";"      88"
"Totaal";"2018";"Albrandswaard";"   10333";"    7022";"    3222";"    2651";"     571";"      89"
"Totaal";"2019";"Albrandswaard";"   10347";"    7133";"    3205";"    2702";"     503";"       9"
"Totaal";"2020";"Albrandswaard";"   10517";"    7270";"    3214";"    2694";"     520";"      33"
"Totaal";"2021";"Albrandswaard";"   10573";"    7331";"    3210";"    2694";"     516";"      32"
"Totaal";"2022";"Albrandswaard";"   10622";"    7380";"    3240";"    2695";"     545";"       2"
"Totaal";"2023";"Albrandswaard";"   10730";"    7483";"    3245";"    2694";"     551";"       2"
"Totaal";"2012";"Alkmaar";"   43703";"   24716";"   18807";"   14310";"    4497";"     180"
"Totaal";"2013";"Alkmaar";"   44049";"   24936";"   18938";"   13735";"    5203";"     175"
"Totaal";"2014";"Alkmaar";"   44884";"   25178";"   19173";"   14335";"    4838";"     533"
"Totaal";"2015";"Alkmaar";"   50076";"   28909";"   20418";"   15046";"    5372";"     749"
"Totaal";"2016";"Alkmaar";"   50346";"   29049";"   20566";"   15115";"    5451";"     731"
"Totaal";"2017";"Alkmaar";"   50513";"   28983";"   20856";"   15063";"    5793";"     674"
"Totaal";"2018";"Alkmaar";"   50830";"   29487";"   20716";"   15099";"    5617";"     627"
"Totaal";"2019";"Alkmaar";"   51127";"   30071";"   21008";"   15170";"    5838";"      48"
"Totaal";"2020";"Alkmaar";"   51339";"   30043";"   21259";"   15248";"    6011";"      37"
"Totaal";"2021";"Alkmaar";"   51656";"   30131";"   21491";"   14907";"    6584";"      34"
"Totaal";"2022";"Alkmaar";"   52941";"   30787";"   22125";"   15173";"    6952";"      29"
"Totaal";"2023";"Alkmaar";"   53417";"   31031";"   22355";"   15174";"    7181";"      31"
"Totaal";"2012";"Almelo";"   31995";"   17661";"   14208";"   11884";"    2324";"     126"
"Totaal";"2013";"Almelo";"   32117";"   17685";"   14342";"   11911";"    2431";"      90"
"Totaal";"2014";"Almelo";"   32159";"   17688";"   14390";"   11750";"    2640";"      81"
"Totaal";"2015";"Almelo";"   32281";"   17732";"   14405";"   11703";"    2702";"     144"
"Totaal";"2016";"Almelo";"   32417";"   17702";"   14477";"   11575";"    2902";"     238"
"Totaal";"2017";"Almelo";"   32859";"   17564";"   15121";"   11699";"    3422";"     174"
"Totaal";"2018";"Almelo";"   32988";"   17933";"   14885";"   11661";"    3224";"     170"
"Totaal";"2019";"Almelo";"   33472";"   18308";"   15129";"   11699";"    3430";"      35"
"Totaal";"2020";"Almelo";"   33549";"   18312";"   15208";"   11641";"    3567";"      29"
"Totaal";"2021";"Almelo";"   33827";"   18311";"   15493";"   11678";"    3815";"      23"
"Totaal";"2022";"Almelo";"   33917";"   18438";"   15455";"   11579";"    3876";"      24"
"Totaal";"2023";"Almelo";"   34067";"   18527";"   15516";"   11583";"    3933";"      24"
"Totaal";"2012";"Almere";"   76755";"   48517";"   28095";"   21732";"    6363";"     143"
"Totaal";"2013";"Almere";"   77609";"   49206";"   28321";"   21593";"    6728";"      82"
"Totaal";"2014";"Almere";"   78330";"   49656";"   28552";"   21637";"    6915";"     122"
"Totaal";"2015";"Almere";"   78974";"   50266";"   28552";"   21631";"    6921";"     156"
"Totaal";"2016";"Almere";"   79721";"   50834";"   28724";"   21785";"    6939";"     163"
"Totaal";"2017";"Almere";"   80582";"   51333";"   29088";"   21827";"    7261";"     161"
"Totaal";"2018";"Almere";"   82312";"   52076";"   29997";"   21855";"    8142";"     239"
"Totaal";"2019";"Almere";"   84161";"   54028";"   29962";"   22978";"    6984";"     171"
"Totaal";"2020";"Almere";"   85977";"   54906";"   31037";"   23334";"    7703";"      34"
"Totaal";"2021";"Almere";"   87259";"   55472";"   31723";"   23514";"    8209";"      64"
