region,year,value
Aalsmeer,1997,103
Aalsmeer,1998,103
Aalsmeer,1999,103
Aalsmeer,2000,104
Aalsmeer,2001,185
Aalsmeer,2002,186
Aalsmeer,2003,188
Aalsmeer,2004,189
Aalsmeer,2005,273
Aalsmeer,2006,274
Aalsmeer,2007,282
Aalsmeer,2008,299
Aalsmeer,2009,307
Aalsmeer,2010,312
Aalsmeer,2011,311
Aalsmeer,2012,302
Aalsmeer,2013,291
Aalsmeer,2014,276
Aalsmeer,2015,277
Aalsmeer,2016,283
Aalsmeer,2017,294
Aalsmeer,2018,304
Aalsmeer,2019,337
Aalsmeer,2020,361
Aalsmeer,2021,383
Aalsmeer,2022,427
Aalsmeer,2023,494
Aalsmeer,2024,491
Aalten,1997,67
Aalten,1998,67
Aalten,1999,68
Aalten,2000,68
Aalten,2001,136
Aalten,2002,136
Aalten,2003,136
Aalten,2004,137
Aalten,2005,200
Aalten,2006,200
Aalten,2007,213
Aalten,2008,224
Aalten,2009,229
Aalten,2010,231
Aalten,2011,226
Aalten,2012,217
Aalten,2013,210
Aalten,2014,194
Aalten,2015,187
Aalten,2016,184
Aalten,2017,189
Aalten,2018,195
Aalten,2019,209
Aalten,2020,223
Aalten,2021,238
Aalten,2022,265
Aalten,2023,313
Aalten,2024,331
Abcoude,1997,141
Abcoude,1998,145
Abcoude,1999,146
Abcoude,2000,146
Abcoude,2001,238
Abcoude,2002,238
Abcoude,2003,239
Abcoude,2004,238
Abcoude,2005,359
Abcoude,2006,360
Abcoude,2007,388
Abcoude,2008,415
Abcoude,2009,426
Abcoude,2010,435
Abcoude,2011,
Abcoude,2012,
Abcoude,2013,
Abcoude,2014,
Abcoude,2015,
Abcoude,2016,
Abcoude,2017,
Abcoude,2018,
Abcoude,2019,
Abcoude,2020,
Abcoude,2021,
Abcoude,2022,
Abcoude,2023,
Abcoude,2024,
Achtkarspelen,1997,60
Achtkarspelen,1998,61
Achtkarspelen,1999,62
Achtkarspelen,2000,62
Achtkarspelen,2001,100
Achtkarspelen,2002,100
Achtkarspelen,2003,101
Achtkarspelen,2004,101
Achtkarspelen,2005,154
Achtkarspelen,2006,155
Achtkarspelen,2007,180
Achtkarspelen,2008,196
Achtkarspelen,2009,202
Achtkarspelen,2010,197
Achtkarspelen,2011,194
Achtkarspelen,2012,190
Achtkarspelen,2013,180
Achtkarspelen,2014,165
Achtkarspelen,2015,160
Achtkarspelen,2016,159
Achtkarspelen,2017,164
Achtkarspelen,2018,171
Achtkarspelen,2019,182
Achtkarspelen,2020,192
Achtkarspelen,2021,206
Achtkarspelen,2022,226
Achtkarspelen,2023,256
Achtkarspelen,2024,271
Akersloot,1997,109
Akersloot,1998,109
Akersloot,1999,109
Akersloot,2000,109
Akersloot,2001,172
Akersloot,2002,
Akersloot,2003,
Akersloot,2004,
Akersloot,2005,
Akersloot,2006,
Akersloot,2007,
Akersloot,2008,
Akersloot,2009,
Akersloot,2010,
Akersloot,2011,
Akersloot,2012,
Akersloot,2013,
Akersloot,2014,
Akersloot,2015,
Akersloot,2016,
Akersloot,2017,
Akersloot,2018,
Akersloot,2019,
Akersloot,2020,
Akersloot,2021,
Akersloot,2022,
Akersloot,2023,
Akersloot,2024,
Alblasserdam,1997,70
Alblasserdam,1998,71
Alblasserdam,1999,72
Alblasserdam,2000,72
Alblasserdam,2001,117
Alblasserdam,2002,118
Alblasserdam,2003,119
Alblasserdam,2004,120
Alblasserdam,2005,179
Alblasserdam,2006,184
Alblasserdam,2007,201
Alblasserdam,2008,217
Alblasserdam,2009,225
Alblasserdam,2010,222
Alblasserdam,2011,219
Alblasserdam,2012,215
Alblasserdam,2013,205
Alblasserdam,2014,194
Alblasserdam,2015,190
Alblasserdam,2016,194
Alblasserdam,2017,198
Alblasserdam,2018,204
Alblasserdam,2019,217
Alblasserdam,2020,234
Alblasserdam,2021,252
Alblasserdam,2022,274
Alblasserdam,2023,324
Alblasserdam,2024,343
Albrandswaard,1997,98
Albrandswaard,1998,96
Albrandswaard,1999,97
Albrandswaard,2000,96
Albrandswaard,2001,154
Albrandswaard,2002,153
Albrandswaard,2003,157
Albrandswaard,2004,157
Albrandswaard,2005,241
Albrandswaard,2006,241
Albrandswaard,2007,261
Albrandswaard,2008,275
Albrandswaard,2009,284
Albrandswaard,2010,287
Albrandswaard,2011,280
Albrandswaard,2012,277
Albrandswaard,2013,266
Albrandswaard,2014,254
Albrandswaard,2015,246
Albrandswaard,2016,248
Albrandswaard,2017,254
Albrandswaard,2018,266
Albrandswaard,2019,286
Albrandswaard,2020,311
Albrandswaard,2021,332
Albrandswaard,2022,366
Albrandswaard,2023,431
Albrandswaard,2024,447
Alkemade,1997,110
Alkemade,1998,108
Alkemade,1999,110
Alkemade,2000,110
Alkemade,2001,179
Alkemade,2002,180
Alkemade,2003,181
Alkemade,2004,181
Alkemade,2005,264
Alkemade,2006,264
Alkemade,2007,283
Alkemade,2008,284
Alkemade,2009,
Alkemade,2010,
Alkemade,2011,
Alkemade,2012,
Alkemade,2013,
Alkemade,2014,
Alkemade,2015,
Alkemade,2016,
Alkemade,2017,
Alkemade,2018,
Alkemade,2019,
Alkemade,2020,
Alkemade,2021,
Alkemade,2022,
Alkemade,2023,
Alkemade,2024,
Alkmaar,1997,64
Alkmaar,1998,65
Alkmaar,1999,65
Alkmaar,2000,65
Alkmaar,2001,114
Alkmaar,2002,114
Alkmaar,2003,116
Alkmaar,2004,117
Alkmaar,2005,178
Alkmaar,2006,178
Alkmaar,2007,184
Alkmaar,2008,196
Alkmaar,2009,205
Alkmaar,2010,209
Alkmaar,2011,205
Alkmaar,2012,204
Alkmaar,2013,193
Alkmaar,2014,181
Alkmaar,2015,181
Alkmaar,2016,182
Alkmaar,2017,188
Alkmaar,2018,202
Alkmaar,2019,221
Alkmaar,2020,243
Alkmaar,2021,261
Alkmaar,2022,287
Alkmaar,2023,342
Alkmaar,2024,359
Almelo,1997,53
Almelo,1998,54
Almelo,1999,55
Almelo,2000,55
Almelo,2001,95
Almelo,2002,95
Almelo,2003,97
Almelo,2004,97
Almelo,2005,147
Almelo,2006,149
Almelo,2007,160
Almelo,2008,175
Almelo,2009,180
Almelo,2010,178
Almelo,2011,177
Almelo,2012,172
Almelo,2013,164
Almelo,2014,154
Almelo,2015,150
Almelo,2016,152
Almelo,2017,153
Almelo,2018,160
Almelo,2019,170
Almelo,2020,184
Almelo,2021,198
Almelo,2022,224
Almelo,2023,272
Almelo,2024,284
Almere,1997,80
Almere,1998,81
Almere,1999,82
Almere,2000,82
Almere,2001,118
Almere,2002,121
Almere,2003,121
Almere,2004,122
Almere,2005,182
Almere,2006,180
Almere,2007,189
Almere,2008,194
Almere,2009,198
Almere,2010,199
Almere,2011,199
Almere,2012,195
Almere,2013,191
Almere,2014,183
Almere,2015,180
Almere,2016,181
Almere,2017,187
Almere,2018,198
Almere,2019,222
Almere,2020,251
Almere,2021,276
Almere,2022,310
Almere,2023,363
Almere,2024,375
Alphen aan den Rijn,1997,78
Alphen aan den Rijn,1998,79
Alphen aan den Rijn,1999,79
Alphen aan den Rijn,2000,80
Alphen aan den Rijn,2001,134
Alphen aan den Rijn,2002,134
Alphen aan den Rijn,2003,135
Alphen aan den Rijn,2004,136
Alphen aan den Rijn,2005,202
Alphen aan den Rijn,2006,203
Alphen aan den Rijn,2007,219
Alphen aan den Rijn,2008,230
Alphen aan den Rijn,2009,240
Alphen aan den Rijn,2010,241
Alphen aan den Rijn,2011,238
Alphen aan den Rijn,2012,234
Alphen aan den Rijn,2013,225
Alphen aan den Rijn,2014,220
Alphen aan den Rijn,2015,217
Alphen aan den Rijn,2016,215
Alphen aan den Rijn,2017,219
Alphen aan den Rijn,2018,231
Alphen aan den Rijn,2019,246
Alphen aan den Rijn,2020,264
Alphen aan den Rijn,2021,282
Alphen aan den Rijn,2022,309
Alphen aan den Rijn,2023,360
Alphen aan den Rijn,2024,374
Alphen-Chaam,1997,122
Alphen-Chaam,1998,122
Alphen-Chaam,1999,122
Alphen-Chaam,2000,123
Alphen-Chaam,2001,202
Alphen-Chaam,2002,202
Alphen-Chaam,2003,204
Alphen-Chaam,2004,204
Alphen-Chaam,2005,312
Alphen-Chaam,2006,311
Alphen-Chaam,2007,326
Alphen-Chaam,2008,338
Alphen-Chaam,2009,348
Alphen-Chaam,2010,344
Alphen-Chaam,2011,330
Alphen-Chaam,2012,322
Alphen-Chaam,2013,302
Alphen-Chaam,2014,290
Alphen-Chaam,2015,289
Alphen-Chaam,2016,289
Alphen-Chaam,2017,297
Alphen-Chaam,2018,307
Alphen-Chaam,2019,333
Alphen-Chaam,2020,351
Alphen-Chaam,2021,372
Alphen-Chaam,2022,402
Alphen-Chaam,2023,441
Alphen-Chaam,2024,458
Altena,1997,
Altena,1998,
Altena,1999,
Altena,2000,
Altena,2001,
Altena,2002,
Altena,2003,
Altena,2004,
Altena,2005,
Altena,2006,
Altena,2007,
Altena,2008,
Altena,2009,
Altena,2010,
Altena,2011,
Altena,2012,
Altena,2013,
Altena,2014,
Altena,2015,
Altena,2016,
Altena,2017,
Altena,2018,
Altena,2019,257
Altena,2020,273
Altena,2021,291
Altena,2022,320
Altena,2023,377
Altena,2024,396
Ambt Delden,1997,94
Ambt Delden,1998,92
Ambt Delden,1999,93
Ambt Delden,2000,94
Ambt Delden,2001,
Ambt Delden,2002,
Ambt Delden,2003,
Ambt Delden,2004,
Ambt Delden,2005,
Ambt Delden,2006,
Ambt Delden,2007,
Ambt Delden,2008,
Ambt Delden,2009,
Ambt Delden,2010,
Ambt Delden,2011,
Ambt Delden,2012,
Ambt Delden,2013,
Ambt Delden,2014,
Ambt Delden,2015,
Ambt Delden,2016,
Ambt Delden,2017,
Ambt Delden,2018,
Ambt Delden,2019,
Ambt Delden,2020,
Ambt Delden,2021,
Ambt Delden,2022,
Ambt Delden,2023,
Ambt Delden,2024,
Ambt Montfort,1997,97
Ambt Montfort,1998,97
Ambt Montfort,1999,98
Ambt Montfort,2000,98
Ambt Montfort,2001,149
Ambt Montfort,2002,149
Ambt Montfort,2003,150
Ambt Montfort,2004,150
Ambt Montfort,2005,202
Ambt Montfort,2006,202
Ambt Montfort,2007,
Ambt Montfort,2008,
Ambt Montfort,2009,
Ambt Montfort,2010,
Ambt Montfort,2011,
Ambt Montfort,2012,
Ambt Montfort,2013,
Ambt Montfort,2014,
Ambt Montfort,2015,
Ambt Montfort,2016,
Ambt Montfort,2017,
Ambt Montfort,2018,
Ambt Montfort,2019,
Ambt Montfort,2020,
Ambt Montfort,2021,
Ambt Montfort,2022,
Ambt Montfort,2023,
Ambt Montfort,2024,
Ameland,1997,78
Ameland,1998,77
Ameland,1999,78
Ameland,2000,79
Ameland,2001,123
Ameland,2002,121
Ameland,2003,122
Ameland,2004,122
Ameland,2005,187
Ameland,2006,186
Ameland,2007,201
Ameland,2008,213
Ameland,2009,220
Ameland,2010,220
Ameland,2011,223
Ameland,2012,221
Ameland,2013,210
Ameland,2014,201
Ameland,2015,196
Ameland,2016,221
Ameland,2017,227
Ameland,2018,238
Ameland,2019,246
Ameland,2020,246
Ameland,2021,263
Ameland,2022,310
Ameland,2023,343
Ameland,2024,348
Amerongen,1997,121
Amerongen,1998,121
Amerongen,1999,120
Amerongen,2000,120
Amerongen,2001,177
Amerongen,2002,
Amerongen,2003,
Amerongen,2004,
Amerongen,2005,
Amerongen,2006,
Amerongen,2007,
Amerongen,2008,
Amerongen,2009,
Amerongen,2010,
Amerongen,2011,
Amerongen,2012,
Amerongen,2013,
Amerongen,2014,
Amerongen,2015,
Amerongen,2016,
Amerongen,2017,
Amerongen,2018,
Amerongen,2019,
Amerongen,2020,
Amerongen,2021,
Amerongen,2022,
Amerongen,2023,
Amerongen,2024,
Amersfoort,1997,92
Amersfoort,1998,92
Amersfoort,1999,93
Amersfoort,2000,93
Amersfoort,2001,146
Amersfoort,2002,147
Amersfoort,2003,148
Amersfoort,2004,149
Amersfoort,2005,212
Amersfoort,2006,215
Amersfoort,2007,229
Amersfoort,2008,247
Amersfoort,2009,260
Amersfoort,2010,258
Amersfoort,2011,251
Amersfoort,2012,247
Amersfoort,2013,235
Amersfoort,2014,222
Amersfoort,2015,217
Amersfoort,2016,223
Amersfoort,2017,234
Amersfoort,2018,254
Amersfoort,2019,283
Amersfoort,2020,306
Amersfoort,2021,330
Amersfoort,2022,367
Amersfoort,2023,432
Amersfoort,2024,420
Ammerzoden,1997,85
Ammerzoden,1998,85
Ammerzoden,1999,
Ammerzoden,2000,
Ammerzoden,2001,
Ammerzoden,2002,
Ammerzoden,2003,
Ammerzoden,2004,
Ammerzoden,2005,
Ammerzoden,2006,
Ammerzoden,2007,
Ammerzoden,2008,
Ammerzoden,2009,
Ammerzoden,2010,
Ammerzoden,2011,
Ammerzoden,2012,
Ammerzoden,2013,
Ammerzoden,2014,
Ammerzoden,2015,
Ammerzoden,2016,
Ammerzoden,2017,
Ammerzoden,2018,
Ammerzoden,2019,
Ammerzoden,2020,
Ammerzoden,2021,
Ammerzoden,2022,
Ammerzoden,2023,
Ammerzoden,2024,
Amstelveen,1997,97
Amstelveen,1998,97
Amstelveen,1999,97
Amstelveen,2000,97
Amstelveen,2001,175
Amstelveen,2002,175
Amstelveen,2003,177
Amstelveen,2004,177
Amstelveen,2005,250
Amstelveen,2006,251
Amstelveen,2007,265
Amstelveen,2008,288
Amstelveen,2009,307
Amstelveen,2010,306
Amstelveen,2011,302
Amstelveen,2012,299
Amstelveen,2013,283
Amstelveen,2014,268
Amstelveen,2015,268
Amstelveen,2016,282
Amstelveen,2017,310
Amstelveen,2018,342
Amstelveen,2019,384
Amstelveen,2020,420
Amstelveen,2021,442
Amstelveen,2022,470
Amstelveen,2023,528
Amstelveen,2024,536
Amsterdam,1997,60
Amsterdam,1998,61
Amsterdam,1999,62
Amsterdam,2000,62
Amsterdam,2001,133
Amsterdam,2002,133
Amsterdam,2003,134
Amsterdam,2004,135
Amsterdam,2005,204
Amsterdam,2006,204
Amsterdam,2007,204
Amsterdam,2008,231
Amsterdam,2009,259
Amsterdam,2010,261
Amsterdam,2011,248
Amsterdam,2012,249
Amsterdam,2013,240
Amsterdam,2014,230
Amsterdam,2015,232
Amsterdam,2016,251
Amsterdam,2017,291
Amsterdam,2018,340
Amsterdam,2019,375
Amsterdam,2020,416
Amsterdam,2021,423
Amsterdam,2022,433
Amsterdam,2023,517
Amsterdam,2024,499
Andijk,1997,85
Andijk,1998,85
Andijk,1999,85
Andijk,2000,86
Andijk,2001,125
Andijk,2002,127
Andijk,2003,127
Andijk,2004,127
Andijk,2005,204
Andijk,2006,204
Andijk,2007,223
Andijk,2008,228
Andijk,2009,236
Andijk,2010,235
Andijk,2011,
Andijk,2012,
Andijk,2013,
Andijk,2014,
Andijk,2015,
Andijk,2016,
Andijk,2017,
Andijk,2018,
Andijk,2019,
Andijk,2020,
Andijk,2021,
Andijk,2022,
Andijk,2023,
Andijk,2024,
Angerlo,1997,97
Angerlo,1998,97
Angerlo,1999,97
Angerlo,2000,97
Angerlo,2001,153
Angerlo,2002,
Angerlo,2003,
Angerlo,2004,
Angerlo,2005,
Angerlo,2006,
Angerlo,2007,
Angerlo,2008,
Angerlo,2009,
Angerlo,2010,
Angerlo,2011,
Angerlo,2012,
Angerlo,2013,
Angerlo,2014,
Angerlo,2015,
Angerlo,2016,
Angerlo,2017,
Angerlo,2018,
Angerlo,2019,
Angerlo,2020,
Angerlo,2021,
Angerlo,2022,
Angerlo,2023,
Angerlo,2024,
Anloo,1997,76
Anloo,1998,
Anloo,1999,
Anloo,2000,
Anloo,2001,
Anloo,2002,
Anloo,2003,
Anloo,2004,
Anloo,2005,
Anloo,2006,
Anloo,2007,
Anloo,2008,
Anloo,2009,
Anloo,2010,
Anloo,2011,
Anloo,2012,
Anloo,2013,
Anloo,2014,
Anloo,2015,
Anloo,2016,
Anloo,2017,
Anloo,2018,
Anloo,2019,
Anloo,2020,
Anloo,2021,
Anloo,2022,
Anloo,2023,
Anloo,2024,
Anna Paulowna,1997,79
Anna Paulowna,1998,78
Anna Paulowna,1999,79
Anna Paulowna,2000,79
Anna Paulowna,2001,132
Anna Paulowna,2002,130
Anna Paulowna,2003,130
Anna Paulowna,2004,132
Anna Paulowna,2005,193
Anna Paulowna,2006,194
Anna Paulowna,2007,206
Anna Paulowna,2008,223
Anna Paulowna,2009,230
Anna Paulowna,2010,230
Anna Paulowna,2011,228
Anna Paulowna,2012,
Anna Paulowna,2013,
Anna Paulowna,2014,
Anna Paulowna,2015,
Anna Paulowna,2016,
Anna Paulowna,2017,
Anna Paulowna,2018,
Anna Paulowna,2019,
Anna Paulowna,2020,
Anna Paulowna,2021,
Anna Paulowna,2022,
Anna Paulowna,2023,
Anna Paulowna,2024,
Apeldoorn,1997,85
Apeldoorn,1998,85
Apeldoorn,1999,85
Apeldoorn,2000,86
Apeldoorn,2001,143
Apeldoorn,2002,144
Apeldoorn,2003,145
Apeldoorn,2004,146
Apeldoorn,2005,216
Apeldoorn,2006,217
Apeldoorn,2007,236
Apeldoorn,2008,253
Apeldoorn,2009,257
Apeldoorn,2010,258
Apeldoorn,2011,247
Apeldoorn,2012,240
Apeldoorn,2013,225
Apeldoorn,2014,208
Apeldoorn,2015,203
Apeldoorn,2016,204
Apeldoorn,2017,209
Apeldoorn,2018,223
Apeldoorn,2019,245
Apeldoorn,2020,263
Apeldoorn,2021,278
Apeldoorn,2022,306
Apeldoorn,2023,378
Apeldoorn,2024,382
Appingedam,1997,52
Appingedam,1998,52
Appingedam,1999,52
Appingedam,2000,53
Appingedam,2001,74
Appingedam,2002,74
Appingedam,2003,76
Appingedam,2004,77
Appingedam,2005,117
Appingedam,2006,118
Appingedam,2007,137
Appingedam,2008,145
Appingedam,2009,150
Appingedam,2010,152
Appingedam,2011,156
Appingedam,2012,154
Appingedam,2013,149
Appingedam,2014,142
Appingedam,2015,134
Appingedam,2016,131
Appingedam,2017,133
Appingedam,2018,138
Appingedam,2019,143
Appingedam,2020,155
Appingedam,2021,162
Appingedam,2022,179
Appingedam,2023,213
Appingedam,2024,222
Arcen en Velden,1997,102
Arcen en Velden,1998,103
Arcen en Velden,1999,102
Arcen en Velden,2000,103
Arcen en Velden,2001,154
Arcen en Velden,2002,154
Arcen en Velden,2003,155
Arcen en Velden,2004,156
Arcen en Velden,2005,219
Arcen en Velden,2006,220
Arcen en Velden,2007,237
Arcen en Velden,2008,246
Arcen en Velden,2009,247
Arcen en Velden,2010,
Arcen en Velden,2011,
Arcen en Velden,2012,
Arcen en Velden,2013,
Arcen en Velden,2014,
Arcen en Velden,2015,
Arcen en Velden,2016,
Arcen en Velden,2017,
Arcen en Velden,2018,
Arcen en Velden,2019,
Arcen en Velden,2020,
Arcen en Velden,2021,
Arcen en Velden,2022,
Arcen en Velden,2023,
Arcen en Velden,2024,
Arnhem,1997,69
Arnhem,1998,69
Arnhem,1999,69
Arnhem,2000,69
Arnhem,2001,111
Arnhem,2002,112
Arnhem,2003,112
Arnhem,2004,112
Arnhem,2005,167
Arnhem,2006,166
Arnhem,2007,180
Arnhem,2008,189
Arnhem,2009,199
Arnhem,2010,202
Arnhem,2011,192
Arnhem,2012,190
Arnhem,2013,183
Arnhem,2014,173
Arnhem,2015,169
Arnhem,2016,169
Arnhem,2017,175
Arnhem,2018,187
Arnhem,2019,206
Arnhem,2020,221
Arnhem,2021,240
Arnhem,2022,265
Arnhem,2023,323
Arnhem,2024,336
Assen,1997,66
Assen,1998,68
Assen,1999,68
Assen,2000,69
Assen,2001,94
Assen,2002,95
Assen,2003,97
Assen,2004,98
Assen,2005,148
Assen,2006,149
Assen,2007,161
Assen,2008,173
Assen,2009,181
Assen,2010,182
Assen,2011,181
Assen,2012,177
Assen,2013,170
Assen,2014,162
Assen,2015,159
Assen,2016,159
Assen,2017,168
Assen,2018,172
Assen,2019,184
Assen,2020,195
Assen,2021,210
Assen,2022,237
Assen,2023,278
Assen,2024,284
Asten,1997,85
Asten,1998,86
Asten,1999,88
Asten,2000,89
Asten,2001,187
Asten,2002,188
Asten,2003,192
Asten,2004,189
Asten,2005,257
Asten,2006,256
Asten,2007,281
Asten,2008,306
Asten,2009,317
Asten,2010,320
Asten,2011,310
Asten,2012,296
Asten,2013,288
Asten,2014,275
Asten,2015,260
Asten,2016,259
Asten,2017,267
Asten,2018,
Asten,2019,299
Asten,2020,321
Asten,2021,331
Asten,2022,364
Asten,2023,403
Asten,2024,417
Avereest,1997,73
Avereest,1998,72
Avereest,1999,73
Avereest,2000,73
Avereest,2001,
Avereest,2002,
Avereest,2003,
Avereest,2004,
Avereest,2005,
Avereest,2006,
Avereest,2007,
Avereest,2008,
Avereest,2009,
Avereest,2010,
Avereest,2011,
Avereest,2012,
Avereest,2013,
Avereest,2014,
Avereest,2015,
Avereest,2016,
Avereest,2017,
Avereest,2018,
Avereest,2019,
Avereest,2020,
Avereest,2021,
Avereest,2022,
Avereest,2023,
Avereest,2024,
Axel,1997,55
Axel,1998,56
Axel,1999,57
Axel,2000,59
Axel,2001,89
Axel,2002,
Axel,2003,
Axel,2004,
Axel,2005,
Axel,2006,
Axel,2007,
Axel,2008,
Axel,2009,
Axel,2010,
Axel,2011,
Axel,2012,
Axel,2013,
Axel,2014,
Axel,2015,
Axel,2016,
Axel,2017,
Axel,2018,
Axel,2019,
Axel,2020,
Axel,2021,
Axel,2022,
Axel,2023,
Axel,2024,
Baarle-Nassau,1997,119
Baarle-Nassau,1998,118
Baarle-Nassau,1999,118
Baarle-Nassau,2000,119
Baarle-Nassau,2001,165
Baarle-Nassau,2002,165
Baarle-Nassau,2003,165
Baarle-Nassau,2004,166
Baarle-Nassau,2005,255
Baarle-Nassau,2006,255
Baarle-Nassau,2007,282
Baarle-Nassau,2008,296
Baarle-Nassau,2009,298
Baarle-Nassau,2010,296
Baarle-Nassau,2011,284
Baarle-Nassau,2012,277
Baarle-Nassau,2013,261
Baarle-Nassau,2014,248
Baarle-Nassau,2015,242
Baarle-Nassau,2016,247
Baarle-Nassau,2017,254
Baarle-Nassau,2018,265
Baarle-Nassau,2019,298
Baarle-Nassau,2020,316
Baarle-Nassau,2021,337
Baarle-Nassau,2022,361
Baarle-Nassau,2023,391
Baarle-Nassau,2024,411
Baarn,1997,118
Baarn,1998,118
Baarn,1999,118
Baarn,2000,118
Baarn,2001,190
