region,year,value
Schoorl,2019,
Schoorl,2020,
Schoorl,2021,
Schoorl,2022,
Schoorl,2023,
Schoorl,2024,
Slochteren,1997,62.0
Slochteren,1998,62.0
Slochteren,1999,63.0
Slochteren,2000,64.0
Slochteren,2001,107.0
Slochteren,2002,108.0
Slochteren,2003,109.0
Slochteren,2004,109.0
Slochteren,2005,170.0
Slochteren,2006,171.0
Slochteren,2007,183.0
Slochteren,2008,200.0
Slochteren,2009,205.0
Slochteren,2010,210.0
Slochteren,2011,204.0
Slochteren,2012,195.0
Slochteren,2013,189.0
Slochteren,2014,184.0
Slochteren,2015,185.0
Slochteren,2016,187.0
Slochteren,2017,187.0
Slochteren,2018,
Slochteren,2019,
Slochteren,2020,
Slochteren,2021,
Slochteren,2022,
Slochteren,2023,
Slochteren,2024,
Smilde,1997,64.0
Smilde,1998,
Smilde,1999,
Smilde,2000,
Smilde,2001,
Smilde,2002,
Smilde,2003,
Smilde,2004,
Smilde,2005,
Smilde,2006,
Smilde,2007,
Smilde,2008,
Smilde,2009,
Smilde,2010,
Smilde,2011,
Smilde,2012,
Smilde,2013,
Smilde,2014,
Smilde,2015,
Smilde,2016,
Smilde,2017,
Smilde,2018,
Smilde,2019,
Smilde,2020,
Smilde,2021,
Smilde,2022,
Smilde,2023,
Smilde,2024,
Zuidlaren,1997,94.0
Zuidlaren,1998,98.0
Zuidlaren,1999,99.0
Zuidlaren,2000,
Zuidlaren,2001,
Zuidlaren,2002,
Zuidlaren,2003,
Zuidlaren,2004,
Zuidlaren,2005,
Zuidlaren,2006,
Zuidlaren,2007,
Zuidlaren,2008,
Zuidlaren,2009,
Zuidlaren,2010,
Zuidlaren,2011,
Zuidlaren,2012,
Zuidlaren,2013,
Zuidlaren,2014,
Zuidlaren,2015,
Zuidlaren,2016,
Zuidlaren,2017,
Zuidlaren,2018,
Zuidlaren,2019,
Zuidlaren,2020,
Zuidlaren,2021,
Zuidlaren,2022,
Zuidlaren,2023,
Zuidlaren,2024,
Zuidwolde,1997,97.0
Zuidwolde,1998,
Zuidwolde,1999,
Zuidwolde,2000,
Zuidwolde,2001,
Zuidwolde,2002,
Zuidwolde,2003,
Zuidwolde,2004,
Zuidwolde,2005,
Zuidwolde,2006,
Zuidwolde,2007,
Zuidwolde,2008,
Zuidwolde,2009,
Zuidwolde,2010,
Zuidwolde,2011,
Zuidwolde,2012,
Zuidwolde,2013,
Zuidwolde,2014,
Zuidwolde,2015,
Zuidwolde,2016,
Zuidwolde,2017,
Zuidwolde,2018,
Zuidwolde,2019,
Zuidwolde,2020,
Zuidwolde,2021,
Zuidwolde,2022,
Zuidwolde,2023,
Zuidwolde,2024,
